,name,bday,spouse,child,education,role,birthplace,bday_sp,birthplace_sp,role_sp,age_diff,age_actress,age_spouse
143,Annette Bening,1958-05-29,"
 J. Steven White ( m.   1984 ;  div.  1991) 
 Warren Beatty  ( m.   1992 ) 
",4,San Diego Mesa CollegeSan Francisco State University (BA)American Conservatory Theater (MFA),Actress,"Topeka, Kansas, U.S.",,,,,60.84998323031958,
144,Constance Bennett,1904-10-22,Chester Hirst Moorhead ( m.  1921; annulled 1923) Philip Morgan Plant ( m.  1925;  div.  1929) Henri de la Falaise ( m.  1931;  div.  1940) Gilbert Roland ( m.  1941;  div.  1946) John Theron Coulter  ( m.  1946),3,,Actress,"New York City, U.S.",,,,,114.4499887061336,
145,Haley Bennett,1988-01-07,Joe Wright,1,,"
Actress
singer
dancer
","Fort Myers, Florida, U.S.",,,,,31.239518949738873,
146,Joan Bennett,1910-02-27,John Marion Fox ( m.  1926;  div.  1928) Gene Markey ( m.  1932;  div.  1937) Walter Wanger ( m.  1940;  div.  1965) David Wilde ( m.  1978),4,,Actress,"Fort Lee, New Jersey, U.S.",,,,,109.10011841447805,
147,Melissa Benoist,1988-10-04,Blake Jenner  ( m.  2013 or 2015; [a]   div.  2017),,The Academy of Theatre ArtsArapahoe High School,Actresssingerdancer,"Houston, Texas, United States[1]",,,,,30.497546150844986,
148,Amber Benson,1977-01-08,,,,"Actress, writer, director, producer","Birmingham, Alabama, US",,,,,42.23495348980472,
149,Ashley Benson,1989-12-18,,,,Actressmodel,"Anaheim Hills, Anaheim, California, U.S.",,,,,29.292867067770043,
150,Jodi Benson,1961-10-10,Ray Benson ( m.  1984),2,,"Actress, voice actress, singer","Rockford, Illinois, U.S.",,,,,57.48235761172372,
151,Julie Benz,1972-05-01,John Kassir ( m.  1998;  div.  2007) Rich Orosco  ( m.  2012),,,Actress,"Pittsburgh, Pennsylvania, United States",1957-10-24,"Baltimore, Maryland, U.S.","Actor, voice actor, comedian",14.519120858060056,46.924988192776034,61.44410905083609
152,Candice Bergen,1946-05-09,Louis Malle ( m.  1980; died 1995) Marshall Rose  ( m.  2000),1,,"Actress, fashion model","Beverly Hills, California, U.S.",1932-10-30,"Thumeries, Nord, France","Film director, screenwriter, producer",13.52252270751624,72.90498778208998,86.42751048960622
153,Polly Bergen,1930-07-14,Jerome Courtland  ( m.  1950–1955) Freddie Fields  ( m.  1957–1975) Jeffrey Endervelt ( m.  1982–1990),2 adopted children1 stepchild,,"Actress, singer, writer, entrepreneur","Knoxville, Tennessee, U.S.",1926-12-27,"Knoxville, Tennessee, U.S.",Actor,3.5455895740501173,88.72461446846958,92.2702040425197
154,Elizabeth Berkley,1972-07-28,Greg Lauren  ( m.  2003),1,,Actress,"Farmington Hills, Michigan, U.S.",1970-01-06,"New York City, U.S.","Actor, painter",2.5572051445272663,46.68405237616104,49.24125752068831
155,Jeannie Berlin,1949-11-01,,,,"Actress, writer","Los Angeles, California, U.S.",,,,,69.4223700692006,
156,Crystal Bernard,1961-09-30,,,,"Singer-songwriter, actress","Garland, Texas, U.S.",,,,,57.509736681793605,
157,Sandra Bernhard,1953-08-01,Sara Switzer,1,Saguaro High School,"
Actress
comedian
singer
author
","Flint, Michigan, U.S.",,,,,65.67417537663333,
158,Halle Berry,1966-08-14,David Justice ( m.  1993;  div.  1997) Eric Benét ( m.  2001;  div.  2005) Olivier Martinez ( m.  2013;  div.  2016),2,,Actress,"Cleveland, Ohio, U.S.",,,,,52.639000116361046,
159,Valerie Bertinelli,1960-04-23,Eddie Van Halen ( m.  1981;  div.  2007)   Tom Vitale  ( m.  2011),Wolfgang Van Halen,,"Actress, spokesperson","Wilmington, Delaware, U.S.",1955-01-26,"Amsterdam, Netherlands",Musiciansongwriterproducerarrangerguitarist,5.240354011376003,58.94713786046257,64.18749187183857
160,Angela Bettis,,,,,"Actress, producer, director",,,,,,,
161,Troy Beyer,1964-11-07,Mark Burg  (1994–2000),,,"Psychologist, Author, Director, Screenwriter","New York City, U.S.",,,,,54.40495013586864,
162,Mayim Bialik,1975-12-12,Michael Stone ( m.  2003;  div.  2012),2,,"Actress, neuroscientist, author","San Diego, California, U.S.",,,,,43.310950943551205,
163,Leslie Bibb,1974-11-17,Rob Born ( m.  2003;  div.  2004),,Saint Gertrude High School,"Actress, photomodel","Bismarck, North Dakota, U.S.[1]",,,,,44.37873467627672,
164,Jessica Biel,1982-03-03,Justin Timberlake  ( m.   2012 ),1,Fairview High School,"Actress, model, producer, singer","Ely, Minnesota, U.S.[2]",1981-01-31,"Memphis, Tennessee, U.S.","
Singer-songwriter
actor
dancer
record producer
",1.084211174767449,37.08768831666632,38.17189949143377
165,Barbara Billingsley,1915-12-22,Glenn Billingsley ( m.  1941;  div.  1947) Roy Kellino ( m.  1953; died 1956) William Mortensen ( m.  1959; died 1981),2,Washington Preparatory High School,Actress,"Los Angeles, California, U.S.",,,,,103.28480393163446,
166,Rachel Bilson,1981-08-25,Hayden Christensen  (m.2007–div.2017),1,,Actress,"Los Angeles, California, U.S.",,,,,37.60789064799414,
167,Traci Bingham,1968-01-13,Robb Vallier ( m.  1998),,,"Actress, model, television personality","North Cambridge, Massachusetts, U.S.",,,,,51.22350219374799,
168,Thora Birch,1982-03-11,,,,"Actress, producer","Los Angeles, California, U.S.",,,,,37.065785060610416,
169,Kerry Bishé,1984-05-01,,,Montclair Kimberley Academy,Actress,New Zealand,,,,,34.9247417811454,
170,Summer Bishil,1988-07-17,,,,Actress,"Pasadena, California, U.S.",,,,,30.71384080439708,
171,Julie Bishop,1914-08-30,Walter Booth Brooks III ( m.  1936;  div.  1939) Clarence A. Shoop ( m.  1944; died 1968) William F. Bergin M.D.  ( m.  1968),"2, including Pamela Susan Shoop",,Actress,"Denver, Colorado, U.S.",,,,,104.59626138798195,
172,Danielle Bisutti,1976-10-01,,,,"Actress, singer-songwriter, writer, producer","Los Angeles, California, U.S.",,,,,42.50600628349658,
173,Karen Black,1939-07-01,Charles Black ( m.  1960) Robert Burton ( m.  1973–1974) L. M. Kit Carson  ( m.  1975–1983) Stephen Eckelberry  ( m.  1987–2013),"3, including Hunter Carson",,"Actress, screenwriter, singer, composer","Park Ridge, Illinois, U.S.",,,,,79.7607069275892,
174,Sofia Black-D'Elia,1991-12-01,,,,Actress,"Clifton, New Jersey, U.S.",,,,,27.340739371787237,
175,Joan Blackman,1938-05-17,Rockne Tarkington ( m.  1968;  div.  1970) Joby Baker ( m.  1959;  div.  1961),2,,Actress,"San Francisco, California, U.S.",1931-07-31,"Junction City, Kansas, United States",Actor,6.795485191345476,80.8832488004545,87.67873399179997
176,Betsy Blair,1923-12-11,"March 13, 2009 (2009-03-13)  (aged 85) London , England",1,,Actress,"Cliffside Park, New Jersey, U.S.",1912-08-23,"Pittsburgh, Pennsylvania, US","Dancer, choreographer, director, actor, singer, producer",11.299342217841572,95.31475663429092,106.61409885213249
177,Linda Blair,1959-01-22,,,,Actressproduceractivist,"St. Louis, Missouri, U.S.",,,,,60.198361362656314,
178,Patricia Blair,1933-01-15,Martin S. Colbert (m. 1965–1993; divorced),,,"Film, television actress","Fort Worth, Texas, U.S.",,,,,86.2166916500681,
179,Selma Blair,1972-06-23,Ahmet Zappa ( m.  2004;  div.  2006),1,,Actress,"Southfield, Michigan, U.S.",,,,,46.77987912140564,
180,Amanda Blake,1929-02-20,Don Whitman ( m.  1954;  div.  1955) Jason Day ( m.  1964;  div.  1967) Frank Gilbert ( m.  1967;  div.  1982) Mark Spaeth ( m.  1984; His death 1985),,,Actress,"Buffalo, New York, US",,,,,90.11820913502673,
181,Susan Blakely,1948-09-07,Todd Merer  (m. 1969; div. 1981) Steve Jaffe (m. 1982–Present),,,Actress,"Frankfurt, Germany",,,,,70.57229101213578,
182,Ronee Blakley,1945-08-24,Wim Wenders ( m.  1979;  div.  1981),Sarah Blakley-Cartwright,,"Actress, singer","Nampa, Idaho, U.S.",1945-08-14,"Düsseldorf, Rhine Province, Germany","Filmmaker, director, screenwriter, playwright, author, photographer",0.027379070069885075,73.61136778989301,73.63874685996291
183,Jolene Blalock,1975-03-05,Michael Rapino ( m.  2003),3,,"Actress, model","San Diego, California, U.S.",,,,,44.08304071952196,
184,Rowan Blanchard,2001-10-14,,,,Actress,"Los Angeles, California, U.S.",,,,,17.47058461159367,
185,Tammy Blanchard,1976-12-14,,1,,Actresssinger,"Bayonne, New Jersey, US",,,,,42.303401164979434,
186,Alexis Bledel,1981-09-16,Vincent Kartheiser  ( m.  2014),1,,"Actress, model","Houston, Texas, U.S.",1979-05-05,"Minneapolis, Minnesota, U.S.",Actor,2.368289561045059,37.547656693840395,39.915946254885455
187,Yasmine Bleeth,1968-06-14,Paul Cerrito ( m.  2002),,,Actress,"New York City, U.S.",,,,,50.804602421678744,
188,Joan Blondell,1906-08-30,George Barnes ( m.  1933;  div.  1936) Dick Powell ( m.  1936;  div.  1944) Mike Todd ( m.  1947;  div.  1950),"2, including Norman S. Powell",,Actress,"Manhattan, New York City, U.S.",1892-10-16,"Pasadena, California, U.S.",Cinematographer,13.867498990396792,112.59642566240238,126.46392465279916
189,Nikki Blonsky,1988-11-09,,,,"Actress, singer, dancer","Great Neck, New York, U.S.",,,,,30.3989814985934,
190,Moon Bloodgood,1975-09-20,Grady Hall 2011-2018 (Divorced),2,,"Actress, model","Alliance, Nebraska, U.S.",,,,,43.53819722513125,
191,Verna Bloom,1938-08-07,Jay Cocks  ( m.  1969),,,Actress,"Lynn, Massachusetts, U.S.",,,,,80.65874042588143,
192,Emily Blunt,1983-02-23,John Krasinski  ( m.  2010),2,,Actress,"Wandsworth, London, England",1979-10-20,"Boston, Massachusetts, U.S.",Actorfilmmaker,3.345722362539956,36.110255515171424,39.45597787771138
193,Ann Blyth,1928-08-16,James McNulty ( m.  1953; died 2007),5,,"Actress, singer","Mount Kisco, New York, U.S.",,,,,90.63293565234056,
194,Eleanor Boardman,1898-08-19,King Vidor ( m.  1926;  div.  1931) Harry d'Abbadie d'Arrast ( m.  1940; died 1968),2,,Actress,"Philadelphia, Pennsylvania, U.S.",1894-02-08,"Galveston, Texas, U.S.","Film director, producer, screenwriter",4.525760282552003,120.62396900689268,125.14972928944468
195,Mary Boland,1882-01-28,,,,Actress,"Philadelphia, Pennsylvania, U.S.",,,,,137.1800926781522,
196,Beulah Bondi,1889-05-03,,,,Actress,"Chicago, Illinois, U.S.",,,,,129.91916329561866,
197,Lisa Bonet,1967-11-16,Lenny Kravitz ( m.  1987;  div.  1993) Jason Momoa  ( m.  2017),3; including Zoë Kravitz,Birmingham High School,Actress,"San Francisco, California, U.S.",1964-05-26,"New York City, New York, U.S.",Singersongwriteractorrecord producer,3.474403991868416,51.382300800153324,54.85670479202174
198,Shirley Booth,1898-08-30,"Ed Gardner ( m.  1929;  div.  1942) William H. Baker, Jr. ( m.  1943; died 1951)",,P.S. 152,Actress,"Brooklyn, New York, U.S.",1901-06-29,"Astoria, New York","Actor, writer, and director",-2.8282579382191284,120.5938520298158,117.76559409159668
199,Olive Borden,1906-07-14,Theodore Spector ( m.  1931; annulled 1932) John Moeller ( m.  1934;  div.  1941),,,,"Richmond, Virginia, U.S.",,,,,112.72510729173084,
200,Alex Borstein,1973-02-15,Jackson Douglas ( m.  1999;  div.  2014),2,,"Actress, writer, producer, comedian","Highland Park, Illinois, U.S.",,,,,46.130995160749364,
201,Michelle Borth,1978-08-19,,,,Actress,"New York City, New York, U.S.",,,,,40.62506416969548,
202,Samantha Boscarino,1994-12-26,,,,"Actress, singer","Ventura County, California, U.S.",,,,,24.27154561695312,
203,Rachel Boston,1982-05-09,,,,Actress,"Chattanooga, Tennessee, U.S.",,,,,36.904248547198094,
204,Kate Bosworth,1983-01-02,Michael Polish  ( m.  2013),,,"Actress, model","Los Angeles, California, U.S.",1970-10-30,"El Centro, California, U.S.","Screenwriters, film producers, film directors, actors",12.175472460077893,36.25262667953483,48.428099139612726
205,Barbara Bouchet,1943-08-15,Luigi Borghese ( m.  1974;  sep  2006),2,,Actress,"Reichenberg, Sudetenland, Germany (present-day Liberec, Czech Republic)",,,,,75.6374189750645,
206,Julie Bovasso,,George Earl Ortman  (divorced),,,Actress,"Brooklyn, New York, U.S.",,,,,,
207,Clara Bow,1905-07-29,Rex Bell ( m.  1931; died 1962),2,,,"Brooklyn, New York City, U.S.",,,,,113.68337474417682,
208,Katrina Bowden,1988-09-19,Ben Jorgensen  ( m.  2013),,,Actress,"Wyckoff, New Jersey, U.S.",,,,,30.538614755949816,
209,Andrea Bowen,1990-03-04,,,,Actress,"Columbus, Ohio, U.S.",,,,,29.084786135238918,
210,Julie Bowen,1970-03-03,Scott Phillips ( m.   2004 ;  div.  2018),3,Brown University,"Actress, model","Baltimore, Maryland, U.S.",,,,,49.08793472829695,
211,Jessica Bowman,1980-11-26,,,,Actress,"Walnut Creek, California, U.S.",,,,,38.35260135389502,
212,Jenna Boyd,1993-03-04,,,,Actress,"Bedford, Texas, U.S.",,,,,26.08404005557951,
213,Lara Flynn Boyle,1970-03-24,John Patrick Dee III ( m.  1996;  div.  1998) Donald Ray Thomas II  ( m.  2006),,,Actress,"Davenport, Iowa, US",,,,,49.030438681150194,
214,Lucy Boynton,1994-01-17,,,,Actress,"New York City, New York, U.S.",,,,,25.210647720350178,
215,Lorraine Bracco,1954-10-02,"
 Daniel Guerard ( m.  1979;  div.  1982) 
 Edward James Olmos ( m.  1994;  div.  2002) 
",2,,Actress,"Brooklyn, New York, U.S.",,,,,64.50508908464924,
216,Alice Brady,1892-11-02,James L. Crane (m.1919–div.1922),1[1],,Actress,"New York City, U.S.",,,,,126.41738023368036,
217,Alexandra Breckenridge,1982-05-15,Alex Breckenridge,2,,"Actress, voice actress","Bridgeport, Connecticut, U.S.",,,,,36.88782110515616,
218,Tracey Elizabeth Bregman,1963-05-29,Ronald Recht ( m.  1987;  div.  2010),2,,Actress,"Munich, West Germany (now Munich, Germany)",,,,,55.85056503555857,
219,Lucille Bremer,1917-02-21,Abelardo Louis Rodriguez ( m.  1948;  div.  1963),4,,ActressDancer,"Amsterdam, Montgomery County, New York, U.S.",,,,,102.11571763965037,
220,Eileen Brennan,1932-09-03,David John Lampson ( m.  1968;  div.  1974),2,,Actress,"Los Angeles, California, U.S.",,,,,86.58357118900456,
221,Amy Brenneman,1964-06-22,Brad Silberling  ( m.  1995),2,,"Actress, producer, writer","New London, Connecticut, U.S.",1963-09-08,"Washington D.C., United States","Director, producer, screenwriter, actor",0.7885172180126901,54.78278130283305,55.57129852084574
222,Abigail Breslin,1996-04-14,,,,"Actress, singer","New York City, New York, U.S.",,,,,22.97103978863358,
223,Jordana Brewster,1980-04-26,Andrew Form  ( m.  2007),2,,"Actress, model","Panama City, Panama",,,Film producer,,38.938513453390556,
224,Paget Brewster,1969-03-10,Steve Damstra ( m.   2014 ),,,Actresssingervoice actress,"Concord, Massachusetts, United States",,,,,50.06810543679884,
225,Chloe Bridges,1991-12-27,Adam DeVine  (2015–present),,,Actress,"Thibodaux, Louisiana, US",,,,,27.269553789605535,
226,Alison Brie,1982-12-29,Dave Franco  ( m.  2017),,,Actress,"Hollywood, California, U.S.",1985-06-12,"Palo Alto, California, U.S.",Actor,-2.453164678261703,36.26357830756278,33.81041362930108
227,Connie Britton,1967-03-06,John Britton ( m.  1991;  div.  1995),1,,"Actress, singer, producer","Boston, Massachusetts, U.S.",,,,,52.08046708693539,
228,Beth Broderick,1959-02-24,Brian Porizek ( m.  1998;  div.  2000) Scott Paetty  ( m.  2005),,,Actress,"Falmouth, Kentucky, U.S.",,,,,60.1080104314257,
229,Jayne Brook,1960-09-16,John Terlesky  (1996–present),2,,Actress,"Northbrook, Illinois, U.S.",,,,,58.54740343744225,
230,Geraldine Brooks,1925-10-29,"
 Herbert Sargent (m. 1958–1961; divorced) 
 Budd Schulberg  (m. 1964–1977; her death) 
",,,,"New York City, U.S.",,,,,93.43107661348283,
231,Louise Brooks,1906-11-14,A. Edward Sutherland ( m.  1926;  div.  1928) Deering Davis ( m.  1933;  div.  1938),,,"Actress, dancer, writer","Cherryvale, Kansas, U.S.",1895-01-05,,,11.855137340260239,112.38834472987125,124.24348207013149
232,Blair Brown,1946-04-23,Richard Jordan  (1976–1985),1,,Actress,"Washington, D.C., U.S.",,,,,72.9487942942018,
233,Kimberly J. Brown,1984-11-16,,,,"Actor, model, voice actor","Gaithersburg, Maryland, U.S.",,,,,34.37989828675469,
234,Yvette Nicole Brown,1971-08-12,,,,"Actress, voice actress, comedian","East Cleveland, Ohio, U.S.",,,,,47.64505773561401,
235,Leslie Browne,1957-06-29,Leonid Slepak [1],,,"dancer, actress","New York City, New York, U.S.",,,,,61.764444170653746,
236,Logan Browning,1989-06-09,,,,Actress,"Atlanta, Georgia, U.S.",,,,,29.818545213111836,
237,Joy Bryant,1976-10-19,Dave Pope ( m.   2008 ),,,Actress,"The Bronx, New York City, U.S.",,,,,42.45672395737079,
238,Tara Buck,1975-03-16,Actress,,,Actress,"Hailey, Idaho, U.S.",,,,,44.05292374244509,
239,Kira Buckland,1987-07-16,,,"University of Alaska Anchorage (B.A., 2007)",Voice actress,"Anchorage, Alaska, U.S.",,,,,31.71865267596186,
240,Betty Buckley,1947-07-03,Peter Flood ( m.  1972;  div.  1979),,,"Actress, singer","Big Spring, Texas, U.S.",,,,,71.75506683915481,
241,Sandra Bullock,1964-07-26,Jesse G. James ( m.   2005 ;  div.   2010 ),2,,"Actress, producer, philanthropist","Arlington, Virginia, U.S.",1969-04-19,"Long Beach, California, U.S.[1]","
Television personality
welder
fabricator
blacksmith
",-4.7311033080761415,54.68969246459544,49.9585891565193
242,Cara Buono,,Peter Thum,1,,Actress,"The Bronx, New York, U.S.",,,,,,
243,Billie Burke,1884-08-07,Florenz Ziegfeld ( m.  1914; died 1932),Patricia Ziegfeld Stephenson,,Actress,"Washington, D.C., U.S.",1867-03-21,"Chicago, Illinois, U.S.","Producer, impresario",17.382971587370037,134.65574241770878,152.03871400507882
244,Delta Burke,1956-07-30,Gerald McRaney  ( m.  1989),,,"Actress, producer, author","Orlando, Florida, U.S.",1947-08-19,"Collins, Mississippi, U.S.",Actor,8.947480098838444,62.678905110987905,71.62638520982635
245,Brooke Burns,1978-03-16,Julian McMahon ( m.  1999;  div.  2002) Gavin O'Connor  ( m.  2013),2,,Actresstelevision hostmodel,"Dallas, Texas, U.S.[1]",1968-07-27,"Sydney, New South Wales, Australia","
Actor
model
",9.634694757592559,41.05217766278568,50.68687242037824
246,Catherine Burns,1945-09-24,,,,Actress,"New York City, New York, U.S.",,,,,73.52649267267637,
247,Heather Burns,1975-04-07,Ajay Naidu,,,"Film, television actress","Chicago, Illinois, U.S.",,,,,43.992689788291344,
248,Ellen Burstyn,1932-12-07,William Alexander ( m.  1950;  div.  1957) Paul Roberts ( m.  1958;  div.  1961) Neil Burstyn ( m.  1964;  div.  1972),1,Cass Technical High School,Actress,"Detroit, Michigan, U.S.",,,,,86.32347002334066,
249,Hilarie Burton,1982-07-01,"
 Ian Prange ( m.  2004;  div.  2009) 
 Jeffrey Dean Morgan  ( m.  2014) [1] 
",2,,"Actress, producer, television host","Sterling, Virginia, U.S.",,,,,36.7591394758277,
250,Kate Burton,1957-09-10,Michael Ritchie  ( m.  1985),2,Brown University (BA)Yale University (MFA),Actress,"Geneva, Switzerland",1957-10-17,"Worcester, Massachusetts, U.S.",Artistic director,-0.10130255925857479,61.56457695914358,61.46327439988501
251,Sophia Bush,1982-07-08,Chad Michael Murray ( m.   2005 ;  div.   2006 ),,,"
Actress
Activist
Director
Producer
","Pasadena, California, U.S.",1981-08-24,"Buffalo, New York, U.S.","Actor, model, spokesperson, writer",0.8706544282223454,36.73997412677878,37.61062855500113
252,Brett Butler,1958-01-30,Charles Michael Wilson ( m.  1978–1981) Ken Zieger ( m.  1987–1999),,,"Actress, writer, comedian","Montgomery, Alabama, U.S.",,,,,61.17579416415121,
