,name,bday,spouse,child,education,role,birthplace,bday_sp,birthplace_sp,role_sp,age_diff,age_actress,age_spouse
572,Tina Fey,1970-05-18,Jeff Richmond  ( m.   2001 ),2,,Actresscomedianwriterproducerplaywright,"Upper Darby Township, Delaware County, Pennsylvania, U.S.",1961-01-07,"Garrettsville, Ohio, U.S.","
Composer
actor
producer
director
",9.358166149886719,48.879853795765825,58.238019945652546
573,Sally Field,1946-11-06,Steve Craig ( m.  1968;  div.  1975) Alan Greisman ( m.  1984;  div.  1993),3; including Peter and Eli Craig,,"
Actress
director
","Pasadena, California, U.S.",,,,,72.40942661382506,
574,Ashley Fink,1986-11-20,,,,Actress,"Houston, Texas, U.S.",,,,,32.37027454362513,
575,Linda Fiorentino,1958-03-09,John Byrum  ( div.  1993),,Rosemont College,"Actress, photographer","Philadelphia, Pennsylvania, U.S.",,,,,61.071753697885654,
576,Danielle Fishel,1981-05-05,Tim Belusko ( m.  2013;  div.  2016) Jensen Karp  ( m.  2018) [1],,,"Actress, television personality","Mesa, Arizona, U.S.",,,,,37.914536232776854,
577,Jenna Fischer,1974-03-07,James Gunn ( m.  2000;  div.  2008)     Lee Kirk ( m.  2010),2,,Actress,"Fort Wayne, Indiana, U.S.",1966-08-05,"St. Louis, Missouri, U.S.","Screenwriter, director, producer, novelist, actor, musician",7.586740316365154,45.07690096305879,52.66364127942394
578,Takayo Fischer,1932-11-25,Sy Fischer,,,,"Hardwick, California, U.S.",,,,,86.35632490742452,
579,Carrie Fisher,1956-10-21,Paul Simon ( m.  1983;  div.  1984),Billie Lourd,,"
Actress
writer
comedian
activist
","Burbank, California, U.S.",,,,,62.45165882940786,
580,Frances Fisher,1952-05-11,Billy Mack Hamilton ( m.  1970;  div.  1972),Francesca Eastwood,,Actress,"Milford on Sea, Hampshire, England",,,,,66.8980198087572,
581,Joely Fisher,1967-10-29,Christopher Duddy ( m.  1996),3,Beverly Hills High School,"Actress, singer, dancer, songwriter, producer","Burbank, California, U.S.",,,,,51.431583126279115,
582,Schuyler Fisk,1982-07-08,Chapman Bullock ( m.  2012),,,"Actress, singer-songwriter","Los Angeles, California, U.S.",,,,,36.73997412677878,
583,Fannie Flagg,1944-09-21,,,,"
Actress
Comedian
Author
","Birmingham, Alabama, U.S.",,,,,74.53404245124814,
584,Jennifer Flavin,1968-08-14,Sylvester Stallone  ( m.  1997),3,,"Entrepreneur, business owner","Los Angeles, California, U.S.",1946-07-06,"Manhattan, New York, U.S.","Actor, director, screenwriter, producer",22.1085990814322,50.637590094252445,72.74618917568465
585,Jaqueline Fleming,1977-09-10,,,,,"Copenhagen, Denmark",,,,,41.56416627309253,
586,Rhonda Fleming,1923-08-10,"
 Tom Lane ( m.  1940–1942) 
 Dr. Lewis Morrill ( m.  1952–1954) 
 Lang Jeffries  ( m.  1960–1962) 
 Hall Bartlett  ( m.  1966–1972) 
 Ted Mann ( m.  1977; died 2001) 
 Darol Carlson ( m.  2003; died 2017) 
",Kent Lane (actor),,,"Los Angeles, California, U.S.",,,,,95.6515191961505,
587,Louise Fletcher,1934-07-22,Jerry Bick ( m.  1960;  div.  1977),2,,Actress,"Birmingham, Alabama, U.S.",,,,,84.70262907520346,
588,Calista Flockhart,1964-11-11,Harrison Ford  ( m.  2010),1,,Actress,"Freeport, Illinois, U.S.",1942-07-13,"Chicago, Illinois, U.S.",Actor,22.33310745600526,54.39399850784068,76.72710596384594
589,Ann Flood,1934-11-12,,,,Actress,,,,,,84.39324558341376,
590,Nina Foch,1924-04-20,James Lipton  (1954–59; divorced) Dennis de Brito (1959–64; divorced) Michael Dewell (1967–93; divorced),1,,"Actress, drama teacher","Leiden, Netherlands",,,,,94.95609081637542,
591,Megan Follows,1968-03-14,Christopher Porter ( m.  1991–1996),2,,Actress,"Toronto, Ontario, Canada",,,,,51.05648986632169,
592,Bridget Fonda,1964-01-27,Danny Elfman  ( m.  2003),1,,"Actress, singer","Los Angeles, California, U.S.",1953-05-29,"Los Angeles, California, U.S.","Composer, singer, songwriter, record producer",10.664147792220238,55.18525363286036,65.8494014250806
593,Jane Fonda,1937-12-21,Roger Vadim ( m.   1965 ;  div.   1973 ) Tom Hayden ( m.   1973 ;  div.   1990 ) Ted Turner ( m.   1991 ;  div.   2001 ),3; including Troy Garity and Mary Williams (unofficial adoption),,"
Actress
writer
activist
","New York City, U.S.",1928-01-26,"Paris, France","Film director, screenwriter, producer",9.903009644277432,81.2857211304818,91.18873077475924
594,Lyndsy Fonseca,1987-01-07,Matthew Smiley ( m.  2009;  div.  2013) Noah Bean  ( m.  2016),1,,Actress,"Oakland, California, U.S.",,,,,32.23885500728968,
