,Unnamed: 0,name,bday,name_spouse,num_of_child,edu,role,birthplace,bday_sp,birthplace_sp,role_sp,name_sp_sp,num_of_child_sp,age_diff,age,age_sp
1604,1604,Maggie Siff,1974-06-21,Paul Ratliff ( m.   2012 ),1,Bryn Mawr College (BA)New York University (MFA),"Actress, singer","New York City ,  New York , U.S.",,,,,,,44.79489654133897,
1605,1605,Jamie-Lynn Sigler,1981-05-15,A. J. DiScala ( m.  2003;  div.  2006) Cutter Dykstra  ( m.  2016),2,,"Actress, singer","Jericho, New York , U.S.",,,,,,,37.895370883727935,
1606,1606,Karen Sillas,1963-06-05,Peter Stormare  (1989–2006) Ivan Menchell ( m.  2007),2,,Actress,"Brooklyn ,  New York ,  U.S.",,,,,,,55.839613407530614,
1607,1607,Leslie Silva,1968-04-21,,,"University of Connecticut, Storrs (BFA)Juilliard School (GrDip)",Actress,"Schenectady, New York , U.S.",,,,,,,50.96066312107709,
1608,1608,Alicia Silverstone,1976-10-04,Christopher Jarecki ( m.  2005;  div.  2018),1,,Actress,"San Francisco ,  California , U.S.",,,,,,,42.50600628349658,
1609,1609,Jessica Simpson,1980-07-10,Nick Lachey ( m.  2002;  div.  2006) Eric Johnson  ( m.  2014),3,,Singer actress fashion designer businesswoman,"Abilene, Texas , U.S.",1973-11-09,"Harlan, Kentucky , U.S.","Actor, singer-songwriter, producer, television personality",Jessica Simpson ( m.  2002;  div.  2006) Vanessa Minnillo  ( m.  2011),3,6.666803562017016,38.741384148887384,45.4081877109044
1610,1610,Molly Sims,1973-05-25,Scott Stuber  ( m.  2011),3,,"Actress, model","Murray, Kentucky , U.S.",,"Granada Hills, Los Angeles ,  United States","Film producer, Netflix executive",Rachel Nichols ( m.  2008;  div.  2009)     Molly Sims  ( m.  2011),3,,45.86815608807847,
1611,1611,Nancy Sinatra,1940-06-08,Tommy Sands ( m.  1960;  div.  1965) Hugh Lambert ( m.  1970; died 1985),,,Singer actress,"Jersey City ,  New Jersey , U.S.",,,,,,,78.82981854521312,
1612,1612,Jaz Sinclair,1994-07-22,,,,Actress,"Dallas ,  Texas , [1]  U.S.",,,,,,,24.70961073807128,
1613,1613,Lori Singer,1957-11-06,Richard Emery ( m.  1980;  div.  1996)   [1],1  [2],,Actress cellist,"Corpus Christi, Texas , U.S.",1946-03-05,Boston Massachusetts,,,,11.674435477798996,61.416729980766206,73.0911654585652
1614,1614,Marina Sirtis,1955-03-29,Michael Lamper ( m.  1992),,,Actress,"Hackney, London , [1]   England , United Kingdom",,,,,,,64.02595535842624,
1615,1615,Jennifer Sky,1976-10-13,Alex Band  ( m.  2004–2009),,,Actress,"Jensen Beach, Florida , U.S.",,,,,,,42.481365120433686,
1616,1616,Azura Skye,1981-11-08,,,,Actress,"Northridge, Los Angeles , California, U.S.",,,,,,,37.41076134349097,
1617,1617,Ione Skye,1970-09-04,Adam Horovitz ( m.  1992;  div.  1999) Ben Lee  ( m.  2008),2,,"
 Actress 
 author 
 painter 
","Hampstead ,  London , England",,,,,,,48.58963565302504,
1618,1618,Jenny Slate,1982-03-25,,,Milton Academy,"
 Actress 
 comedian 
 voice artist 
 author 
","Milton, Massachusetts , U.S.",,,,,,,37.035668083533544,
1619,1619,Helen Slater,1963-12-15,Robert Watzke ( m.  1989),1,,"Actress, singer-songwriter","Bethpage, New York , U.S.",,,,,,,55.31119735518183,
1620,1620,Lindsay Sloane,1977-08-08,Dar Rollins ( m.  2004),2,,Actress,"Long Island, New York , U.S.",,,,,,,41.66273092534412,
