,name,bday,name_sp,num_of_child,education,role,birthplace,bday_sp,birthplace_sp,role_sp,name_sp_sp,num_of_child_sp,age_diff,age,age_spouse,name_sp_cl,year_m,year_div,name_sp_sp_cl,year_m_sp,year_div_sp,num_of_child_cl,num_of_child_sp_cl,name_sp_cl.1,num_of_m,name_sp_sp_cl.1,num_of_m_sp,num_of_role,num_of_role_sp,geohash,geohash_sp,geo_distance,zodiac,zodiac_sp,sex,divorce,year_m_1,year_div_1,year_m_sp_1,year_div_sp_1,age_m_1,age_div_1,age_m_sp_1,age_div_sp_1
14631,Joe Pantoliano,1951-09-12,Morgan Kester ( m.  1979–1985) Nancy Sheppard ( m.  1994),4,,Actor,"Hoboken, New Jersey, U.S.",,,,,,,67.65094423567903,,"['Morgan Kester', 'Nancy Sheppard']","[1979, 1994]",,,,,4.0,,"['Morgan Kester', 'Nancy Sheppard']",2.0,,,1.0,,dr5rg35,,,8.0,,M,1.0,1979.0,,,,28.0,,,
14643,Michael Paré,1958-10-09,Lisa Katselas ( m.  1980;  div.  1982) Marisa Pare ( m.  1986;  div.  1988) Marjolein Booy  ( m.  1992),1,The Culinary Institute of America,"Actor, chef","Brooklyn, New York City, U.S.",,,,,,,60.57619252962074,,"['Lisa Katselas', 'Marisa Pare', 'Marjolein Booy']","[1980, 1986, 1992]","[1982, 1988]",,,,1.0,,"['Lisa Katselas', 'Marisa Pare', 'Marjolein Booy']",3.0,,,2.0,,dr5rmm5,,,9.0,,M,1.0,1980.0,1982.0,,,22.0,24.0,,
14644,Juan Gabriel Pareja,1978-12-24,Morgan Jones ( m.   2014 ) [1],2[1],,Actor,"Houston, Texas",,,,,,,40.36770091103856,,['Morgan Jones'],[2014],,,,,,,['Morgan Jones'],1.0,,,1.0,,9vk1mc9,,,0.0,,M,0.0,2014.0,,,,36.0,,,
14648,Jerry Paris,1925-07-25,Ruth Benjamin ( m.  1954; died 1980),3,,"Actor, director","San Francisco, California, U.S.",,,,,,,93.78426661738436,,['Ruth Benjamin'],[1954],,,,,3.0,,['Ruth Benjamin'],1.0,,,2.0,,9q8yyk8,,,7.0,,M,0.0,1954.0,,,,29.0,,,
14771,Randall Park,,Jae Suh Park  ( m.  2008),1,,"Actor, comedian, writer","Los Angeles, California, U.S.",,,Actor,Randall Park  ( m.  2008),1,,,,['Jae Suh Park'],[2008],,['Randall Park'],[2008],,1.0,1.0,['Jae Suh Park'],1.0,['Randall Park'],1.0,3.0,1.0,9q5ctr1,,,,,M,0.0,2008.0,,2008.0,2008.0,,,,
14772,Steve Park,,Kelly Coffield Park  ( m.  1999),2,,Comedianactorvoice actor,"Vestal, New York, U.S.[1]",,,Actresscomedian,Steve Park  ( m.  1999),2,,,,['Kelly Coffield Park'],[1999],,['Steve Park'],[1999],,2.0,2.0,['Kelly Coffield Park'],1.0,['Steve Park'],1.0,2.0,1.0,dr3zqrn,,,,,M,0.0,1999.0,,1999.0,1999.0,,,,
14777,Fess Parker,1924-08-16,Marcella Belle Rinehart  (m. 1960–2010; his death),2,,ActorSingerWinemakerResort owner-operator,"Fort Worth, Texas, U.S.",,,,,,,94.72336872078141,,['Marcella Belle Rinehart'],[1960],,,,,2.0,,['Marcella Belle Rinehart'],1.0,,,2.0,,9vff34v,,,7.0,,M,1.0,1960.0,,,,36.0,,,
14779,Jameson Parker,1947-11-18,Anne Taylor Davis (m. 1969; div. 1974) Bonnie Parker ( m.  1976;  div.  1992) Darleen Carr  ( m.  1992),4,,Actor,"Baltimore, Maryland, U.S.",,,,,,,71.46758660342101,,"['Anne Taylor Davis', 'Bonnie Parker', 'Darleen Carr']","[1969, 1976, 1992]","[1974, 1992]",,,,4.0,,"['Anne Taylor Davis', 'Bonnie Parker', 'Darleen Carr']",3.0,,,1.0,,dqcx88s,,,10.0,,M,1.0,1969.0,1974.0,,,22.0,27.0,,
14780,Nate Parker,1979-11-18,Sarah DiSanto ( m.  2007),5,,"Actor, film director, producer, screenwriter","Norfolk, Virginia, United States",,,,,,,39.466929505739344,,['Sarah DiSanto'],[2007],,,,,5.0,,['Sarah DiSanto'],1.0,,,5.0,,dq9c8h6,,,10.0,,M,0.0,2007.0,,,,28.0,,,
14786,Trey Parker,1969-10-19,"
 Emma Sugiyama ( m.  2006;  div.  2008) 
 Boogie Tillmon ( m.  2014;  div.  2019) 
",1,Evergreen High School,Animatordirectorproducerscreenwriteractorcomposer,"Conifer, Colorado, U.S.",,,,,,,49.54790310547102,,"['Emma Sugiyama', 'Boogie Tillmon']","[2006, 2014]","[2008, 2019]",,,,1.0,,"['Emma Sugiyama', 'Boogie Tillmon']",2.0,,,1.0,,9xj0gdq,,,9.0,,M,1.0,2006.0,2008.0,,,37.0,39.0,,
14787,Willard Parker,1912-02-05,Marion Pierce ( m.  1939;  div.  1951) Virginia Field ( m.  1951; died 1992),1,,Actor,"New York City, U.S.",,,,,,,107.2520311847608,,"['Marion Pierce', 'Virginia Field']","[1939, 1951]",[1951],,,,1.0,,"['Marion Pierce', 'Virginia Field']",2.0,,,1.0,,dr5regw,,,1.0,,M,1.0,1939.0,1951.0,,,27.0,39.0,,
14797,Jim Parrack,1981-02-08,"Ciera Danielle ( m.  2008–2014) 
 Leven Rambin  ( m.  2015–2017)",,,"Actor, producer","Allen, Texas, U.S.",,,,,,,38.240347166608494,,"['Ciera Danielle', 'Leven Rambin']","[2008, 2015]",,,,,,,"['Ciera Danielle', 'Leven Rambin']",2.0,,,2.0,,9vgk24n,,,1.0,,M,1.0,2008.0,,,,27.0,,,
14799,Hunter Parrish,1987-05-13,Kathryn Wahl ( m.   2015 ),,,Actorsinger,"Richmond, Virginia, U.S.",,,,,,,31.984229655639748,,['Kathryn Wahl'],[2015],,,,,,,['Kathryn Wahl'],1.0,,,1.0,,dq8vtfh,,,4.0,,M,0.0,2015.0,,,,28.0,,,
14803,Jim Parsons,1973-03-24,Todd Spiewak ( m.  2017),,,Actor,"Houston, Texas, U.S.",,,,,,,46.120043532721404,,['Todd Spiewak'],[2017],,,,,,,['Todd Spiewak'],1.0,,,1.0,,9vk1mc9,,,3.0,,M,0.0,2017.0,,,,44.0,,,
14806,Ross Partridge,1968-02-26,Jennifer Lafleur  ( m.  2016),,,"Actor, producer, screenwriter, director","Kingston, New York, U.S.",1979-09-08,"Ware, Massachusetts, U.S.","
Actress
producer
writer
",Ross Partridge  ( m.  2016),,-11.532064313435596,51.19338521667111,39.66132090323552,['Jennifer Lafleur'],[2016],,['Ross Partridge'],[2016],,,,['Jennifer Lafleur'],1.0,['Ross Partridge'],1.0,4.0,3.0,dr7qs0s,drs8kjh,625441.0,2.0,8.0,M,0.0,2016.0,,2016.0,2016.0,48.0,,37.0,37.0
14809,Adrian Pasdar,1965-04-30,Natalie Maines ( m.   2000 ;  div.   2017 ),2,,Actor,"Pittsfield, Massachusetts, U.S.",,,,,,,54.018905247883254,,['Natalie Maines'],[2000],[2017],,,,2.0,,['Natalie Maines'],1.0,,,1.0,,drecmrb,,,4.0,,M,1.0,2000.0,2017.0,,,35.0,52.0,,
14812,Steven Pasquale,1979-11-18,Laura Benanti ( m.  2007;  div.  2013) Phillipa Soo  ( m.  2017),,,Actor,"Hershey, Pennsylvania, U.S.",1979-07-15,"New York City, New York, U.S.","Actress, singer","Actress, singer",1,0.34497628288055204,39.466929505739344,39.81190578861989,"['Laura Benanti', 'Phillipa Soo']","[2007, 2017]",[2013],,,,,1.0,"['Laura Benanti', 'Phillipa Soo']",2.0,,,1.0,2.0,dr1mpvb,dr5regw,625441.0,10.0,6.0,M,1.0,2007.0,2013.0,,,28.0,34.0,,
14819,Mandy Patinkin,1952-11-30,Kathryn Grody  ( m.  1980),2,"University of Kansas, LawrenceJuilliard School","Actor, singer","Chicago, Illinois, United States",1946-11-06,"Los Angeles, California, U.S.","Actress, writer",Mandy Patinkin  ( m.  1980),2,6.067201927486532,66.43257561756914,72.49977754505568,['Kathryn Grody'],[1980],,['Mandy Patinkin'],[1980],,2.0,2.0,['Kathryn Grody'],1.0,['Mandy Patinkin'],1.0,2.0,2.0,dp3wjzt,9q5ctr1,20000000.0,11.0,10.0,M,0.0,1980.0,,1980.0,1980.0,28.0,,34.0,34.0
14825,Robert Patrick,1958-11-05,Barbara Hooper  ( m.  1990),2,,Actor,"Marietta, Georgia, U.S.",,,,,,,60.50226904043204,,['Barbara Hooper'],[1990],,,,,2.0,,['Barbara Hooper'],1.0,,,1.0,,dn5chhb,,,10.0,,M,0.0,1990.0,,,,32.0,,,
14967,Scott Patterson,1958-09-11,"Vera Davich (m. 1983–1985), Kristine Saryan [1]",1,,"Baseball player (1980–1986)Actor (1993–present)Musician, (1990–present)","Philadelphia, Pennsylvania, United States",,,,,,,60.6528539258164,,['Vera Davich'],[1983],,,,,1.0,,['Vera Davich'],1.0,,,5.0,,dr4e394,,,8.0,,M,1.0,1983.0,,,,25.0,,,
14971,Aaron Paul,1979-08-27,Lauren Parsekian  ( m.   2013 ),1[1],,Actor,"Emmett, Idaho, U.S.",,,,,,,39.69417578731938,,['Lauren Parsekian'],[2013],,,,,,,['Lauren Parsekian'],1.0,,,1.0,,9rv1sfz,,,8.0,,M,0.0,2013.0,,,,34.0,,,
14979,Scott Paulin,1950-02-13,Wendy Phillips  ( m.  1981),1,,"Actor, director","Steubenville, Ohio, U.S.",,,,,,,69.22797867170442,,['Wendy Phillips'],[1981],,,,,1.0,,['Wendy Phillips'],1.0,,,2.0,,dpnttjh,,,1.0,,M,0.0,1981.0,,,,31.0,,,
14983,Rob Paulsen,1956-03-11,Carol Anne Schnarr ( m.  1979;  div.  1982) Parrish Todd  ( m.  1983),1,,"Voice actor, singer","Detroit, Michigan, U.S.",,,,,,,63.15530093020391,,"['Carol Anne Schnarr', 'Parrish Todd']","[1979, 1983]",[1982],,,,1.0,,"['Carol Anne Schnarr', 'Parrish Todd']",2.0,,,3.0,,dpsby4p,,,2.0,,M,1.0,1979.0,1982.0,,,23.0,26.0,,
14985,Jessie Pavelka,1982-09-26,Sitara Hewitt ( m.  2008;  div.  2016),1,,"Fitness expert, television host","Corpus Christi, Texas",,"Elora, Ontario",Actress,Jessie Pavelka ( m.  2008;  div.  2016),1,,36.61129249745032,,['Sitara Hewitt'],[2008],[2016],['Jessie Pavelka'],[2008],[2016],1.0,1.0,['Sitara Hewitt'],1.0,['Jessie Pavelka'],1.0,4.0,1.0,9ufwpsy,dpyb9b2,20000000.0,9.0,,M,1.0,2008.0,2016.0,2008.0,2008.0,26.0,34.0,,
14987,Bill Paxton,1955-05-17,Kelly Rowan ( m.  1979;  div.  1980) Louise Newbury ( m.  1987),"2, including James Paxton",,"
Actor
film director
","Fort Worth, Texas, U.S.",,,,,,,63.973935125293465,,"['Kelly Rowan', 'Louise Newbury']","[1979, 1987]",[1980],,,,2.0,,"['Kelly Rowan', 'Louise Newbury']",2.0,,,3.0,,9vff34v,,,4.0,,M,1.0,1979.0,1980.0,,,24.0,25.0,,
14989,David Paymer,1954-08-30,Liz Georges ( m.  1988),2,,"Actor, director, comedian","Oceanside, New York, U.S.",,,,,,,64.68579094711048,,['Liz Georges'],[1988],,,,,2.0,,['Liz Georges'],1.0,,,3.0,,dr5xhq0,,,8.0,,M,0.0,1988.0,,,,34.0,,,
14991,John Payne,1912-05-23,Anne Shirley ( m.  1937;  div.  1943) Gloria DeHaven ( m.  1944;  div.  1950) Alexandra Crowell Curtis  ( m.  1953),"3, including Julie Payne",,"Actor, singer","Roanoke, Virginia, U.S.",1918-04-17,"New York City, New York, U.S.",Actress,John Payne ( m.  1937;  div.  1943) Adrian Scott ( m.  1945;  div.  1948) Charles Lederer ( m.  1949; died 1976),"2, including Julie Payne",-5.900189600060233,106.95633722800603,101.0561476279458,"['Anne Shirley', 'Gloria DeHaven', 'Alexandra Crowell Curtis']","[1937, 1944, 1953]","[1943, 1950]","['John Payne', 'Adrian Scott', 'Charles Lederer']","[1937, 1945, 1949]","[1943, 1948]",3.0,2.0,"['Anne Shirley', 'Gloria DeHaven', 'Alexandra Crowell Curtis']",3.0,"['John Payne', 'Adrian Scott', 'Charles Lederer']",3.0,2.0,1.0,dnxhhbu,dr5regw,5003530.0,5.0,3.0,M,1.0,1937.0,1943.0,1937.0,1937.0,25.0,31.0,19.0,19.0
14995,Khary Payton,1972-05-16,Linda Braddock ( m.  2001;  div.  2009) Stacy Reed Payton  ( m.  2010),2,,"Actor, voice actor","Augusta, Georgia, U.S.",,,,,,,46.974270518901825,,"['Linda Braddock', 'Stacy Reed Payton']","[2001, 2010]",[2009],,,,2.0,,"['Linda Braddock', 'Stacy Reed Payton']",2.0,,,3.0,,djvwmv9,,,4.0,,M,1.0,2001.0,2009.0,,,29.0,37.0,,
15005,Gregory Peck,1916-04-05,"
 Greta Kukkonen ( m.  1942;  div.  1955) 
 Veronique Passani ( m.  1955; his death 2003) 
","5, including Cecilia Peck",,Actor,"San Diego, California, U.S.",,,,,,,103.08767462713129,,"['Greta Kukkonen', 'Veronique Passani']","[1942, 1955]",[1955],,,,5.0,,"['Greta Kukkonen', 'Veronique Passani']",2.0,,,1.0,,9mudjgt,,,3.0,,M,1.0,1942.0,1955.0,,,26.0,39.0,,
15007,Josh Peck,1986-11-10,Paige O'Brien ( m.  2017),1,,"
Actor
voice actor
comedian
YouTube personality
","New York City, New York, U.S.",,,,,,,32.48800454492563,,"[""Paige O'Brien""]",[2017],,,,,1.0,,"[""Paige O'Brien""]",1.0,,,6.0,,dr5regw,,,10.0,,M,0.0,2017.0,,,,31.0,,,
15181,Jordan Peele,1979-02-21,Chelsea Peretti  ( m.  2016),1,,"
Actor
comedian
filmmaker
","New York City, New York, U.S.",,,,,,,40.20616439762623,,['Chelsea Peretti'],[2016],,,,,1.0,,['Chelsea Peretti'],1.0,,,3.0,,dr5regw,,,2.0,,M,0.0,2016.0,,,,37.0,,,
15190,Michael Peña,1976-01-13,Brie Shaffer ( m.  2006),1,"Marist High School
Hubbard High School","
Actor
musician
","Chicago, Illinois, U.S.",,,,,,,43.31368885055819,,['Brie Shaffer'],[2006],,,,,1.0,,['Brie Shaffer'],1.0,,,2.0,,dp3wjzt,,,0.0,,M,0.0,2006.0,,,,30.0,,,
15229,Leo Penn,1921-08-27,Olive Deering ( m.  1947;  div.  1952) Eileen Ryan  ( m.  1957),Michael PennSean PennChris Penn,,"Television director, actor","Lawrence, Massachusetts, U.S.",1918-10-11,"New York City, U.S.",Actress,Leo Penn ( m.  1947;  div.  1952),,2.8775402643449217,97.69399782336392,100.57153808770883,"['Olive Deering', 'Eileen Ryan']","[1947, 1957]",[1952],['Leo Penn'],[1947],[1952],,,"['Olive Deering', 'Eileen Ryan']",2.0,['Leo Penn'],1.0,3.0,1.0,drt6uws,dr5regw,625441.0,8.0,9.0,M,1.0,1947.0,1952.0,1947.0,1947.0,26.0,31.0,29.0,29.0
15231,Sean Penn,1960-08-17,Madonna ( m.  1985;  div.  1989) Robin Wright ( m.  1996;  div.  2010),"2, including Dylan Penn",,"Actor, filmmaker","Santa Monica, California, U.S.",1958-08-16,"Bay City, Michigan, U.S.",Singersongwriteractressbusinesswomanrecord producerdancerfilm directorauthorhumanitarian,"
 Sean Penn ( m.  1985;  div.  1989) 
 Guy Ritchie ( m.  2000;  div.  2008) 
",6,2.004147929115588,58.71989157888253,60.724039507998114,"['Madonna', 'Robin Wright']","[1985, 1996]","[1989, 2010]","['Sean Penn', 'Guy Ritchie']","[1985, 2000]","[1989, 2008]",2.0,6.0,"['Madonna', 'Robin Wright']",2.0,"['Sean Penn', 'Guy Ritchie']",2.0,2.0,3.0,9q59x9j,dpu2501,20000000.0,7.0,7.0,M,1.0,1985.0,1989.0,1985.0,1985.0,25.0,29.0,27.0,27.0
15237,George Peppard,1928-10-01,Helen Davies ( m.  1954;  div.  1964) Elizabeth Ashley ( m.  1966;  div.  1972) Sherry Boucher ( m.  1975;  div.  1979) Alexis Adams ( m.  1984;  div.  1986) Laura Taylor ( m.  1992),3,,Actor,"Detroit, Michigan, U.S.",,,,,,,90.59734286124971,,"['Helen Davies', 'Elizabeth Ashley', 'Sherry Boucher', 'Alexis Adams', 'Laura Taylor']","[1954, 1966, 1975, 1984, 1992]","[1964, 1972, 1979, 1986]",,,,3.0,,"['Helen Davies', 'Elizabeth Ashley', 'Sherry Boucher', 'Alexis Adams', 'Laura Taylor']",5.0,,,1.0,,dpsby4p,,,9.0,,M,1.0,1954.0,1964.0,,,26.0,36.0,,
15246,Anthony Perkins,1932-04-04,Berry Berenson  ( m.  1973),Oz PerkinsElvis Perkins,,"
Actor
singer
","New York City, New York, U.S.",1948-04-14,"New York City, U.S.","Actress, model, photographer",Anthony Perkins ( m.   1973 ; died  1992 ),Oz PerkinsElvis Perkins,-16.027707618910725,87.09008398529743,71.06237636638672,['Berry Berenson'],[1973],,['Anthony Perkins'],[1973],,,,['Berry Berenson'],1.0,['Anthony Perkins'],1.0,2.0,3.0,dr5regw,dr5regw,118.0,3.0,3.0,M,0.0,1973.0,,1973.0,1973.0,41.0,,25.0,25.0
15248,Osgood Perkins,1892-05-16,Janet Esselstyn Rane (m. 1922–1937) (1894-1979),Anthony Perkins,,Actor,"West Newton, Massachusetts, U.S.",,,,,,,126.97317535609905,,['Janet Esselstyn Rane'],[1922],,,,,,,['Janet Esselstyn Rane'],1.0,,,1.0,,drt2gjx,,,4.0,,M,1.0,1922.0,,,,30.0,,,
15249,Oz Perkins,1974-02-02,Sidney ( m.  1999–2016),2,,"Actor, director","Manhattan, New York City, U.S.",,,,,,,45.25760282552003,,['Sidney'],[1999],,,,,2.0,,['Sidney'],1.0,,,2.0,,dr72h8r,,,1.0,,M,1.0,1999.0,,,,25.0,,,
15253,Ron Perlman,1950-04-13,Opal Stone ( m.   1981 ),2,"City University of New York, Lehman (BA)University of Minnesota, Twin Cities (MFA)","Actor, voice actor","Washington Heights, New York, U.S.",,,,,,,69.06644215829209,,['Opal Stone'],[1981],,,,,2.0,,['Opal Stone'],1.0,,,3.0,,dr72m7p,,,3.0,,M,0.0,1981.0,,,,31.0,,,
15257,Harold Perrineau,1963-08-07,Brittany Robinson  ( m.  2002),"3, including Aurora",,Actor,"Brooklyn, New York, U.S.",,,,,,,55.74926247629999,,['Brittany Robinson'],[2002],,,,,3.0,,['Brittany Robinson'],1.0,,,1.0,,dr5rmm5,,,7.0,,M,0.0,2002.0,,,,39.0,,,
15264,Jeff Perry,1955-08-16,Laurie Metcalf ( m.  1983;  div.  1986) Linda Lowy ( m.  1989),"Zoe Perry
Leah Perry",,Actor,"Highland Park, Illinois, U.S.",1955-06-16,"Carbondale, Illinois, U.S.",Actress,Jeff Perry ( m.  1983;  div.  1986) Matt Roth ( m.  1993;  div.  2014),4 (including Zoe Perry),0.16701232742629896,63.72478558765753,63.89179791508381,"['Laurie Metcalf', 'Linda Lowy']","[1983, 1989]",[1986],"['Jeff Perry', 'Matt Roth']","[1983, 1993]","[1986, 2014]",,4.0,"['Laurie Metcalf', 'Linda Lowy']",2.0,"['Jeff Perry', 'Matt Roth']",2.0,1.0,1.0,dp3xfnc,dn8w9u4,5003530.0,7.0,5.0,M,1.0,1983.0,1986.0,1983.0,1983.0,28.0,31.0,28.0,28.0
15267,Luke Perry,1966-10-11,Rachel Sharp ( m.  1993;  div.  2003),2,,Actorvoice artist,"Mansfield, Ohio, U.S.",,,,,,,52.570552441186344,,['Rachel Sharp'],[1993],[2003],,,,2.0,,['Rachel Sharp'],1.0,,,2.0,,dpjrf7f,,,9.0,,M,1.0,1993.0,2003.0,,,27.0,37.0,,
15271,Roger Perry,1933-05-07,Jo Anne Worley ( m.  1975;  div.  2000) Joyce Bulifant  ( m.  2002),,,Actor,"Davenport, Iowa, U.S.",1937-09-06,"Lowell, Indiana, U.S.","Actress, comedian, singer",Roger Perry ( m.  1975;  div.  2000),,-4.3341067920628085,86.00039699651602,81.6662902044532,"['Jo Anne Worley', 'Joyce Bulifant']","[1975, 2002]",[2000],['Roger Perry'],[1975],[2000],,,"['Jo Anne Worley', 'Joyce Bulifant']",2.0,['Roger Perry'],1.0,1.0,3.0,9zrs4z5,dp3ffsy,20000000.0,4.0,8.0,M,1.0,1975.0,2000.0,1975.0,1975.0,42.0,67.0,38.0,38.0
15275,Joe Pesci,1943-02-09,Claudia Haro ( m.  1988;  div.  1992),1,,Actor,"Newark, New Jersey, U.S.",,,,,,,76.23975851660198,,['Claudia Haro'],[1988],[1992],,,,1.0,,['Claudia Haro'],1.0,,,1.0,,dr5r8pt,,,1.0,,M,1.0,1988.0,1992.0,,,45.0,49.0,,
15278,Brock Peters,1927-07-02,Dolores Daniels ( m.  1961; her death 1989),1,High School of Music & ArtCity College of New York,Actor,"Harlem, New York City, New York, U.S.",,,,,,,91.84856636344351,,['Dolores Daniels'],[1961],,,,,1.0,,['Dolores Daniels'],1.0,,,1.0,,dr72jm9,,,6.0,,M,0.0,1961.0,,,,34.0,,,
15290,Tom Peterson,1930-02-23,Gloria Peterson ( m.  1954–2016),2,,Retailer,"St. Paul, Minnesota, U.S.",,,,,,,89.20101028768559,,['Gloria Peterson'],[1954],,,,,2.0,,['Gloria Peterson'],1.0,,,1.0,,9zvz9xt,,,2.0,,M,1.0,1954.0,,,,24.0,,,
15302,Lee Phelps,1893-05-15,Mary Warren  (m.1916-1953; his death; 2 children),,,Actor,"Philadelphia, Pennsylvania, United States",,,,,,,125.97657720555522,,['Mary Warren'],[1916],,,,,,,['Mary Warren'],1.0,,,1.0,,dr4e394,,,4.0,,M,0.0,1916.0,,,,23.0,,,
15303,Mekhi Phifer,1974-12-29,Malinda Williams ( m.  1999;  div.  2003) Reshelet Barnes ( m.  2013),2,,"Actor, director, producer, rapper","London, Manhattan,New York City, New York,United States",1975-09-24,"Elizabeth, New Jersey","Actress, producer",Mekhi Phifer ( m.  1999;  div.  2003) D-Nice ( m.  2008;  div.  2010),1,-0.7364969848799086,44.354093513213826,43.617596528333905,"['Malinda Williams', 'Reshelet Barnes']","[1999, 2013]",[2003],"['Mekhi Phifer', 'D Nice']","[1999, 2008]","[2003, 2010]",2.0,1.0,"['Malinda Williams', 'Reshelet Barnes']",2.0,"['Mekhi Phifer', 'D Nice']",2.0,4.0,2.0,dr5rsp2,dr5pr69,123264.0,0.0,9.0,M,1.0,1999.0,2003.0,1999.0,1999.0,25.0,29.0,24.0,24.0
15305,Regis Philbin,1931-08-25,"Catherine ""Kay"" Faylen ( m.  1955;  div.  1968) Joy Senese  ( m.  1970)","4, including J. J. Philbin",Cardinal Hayes High School,TV presentertalk show hostgame show hostactorsingerauthor,"The Bronx, New York, U.S.",,,,,,,87.70063724785587,,"['Catherine ""Kay"" Faylen', 'Joy Senese']","[1955, 1970]",[1968],,,,4.0,,"['Catherine ""Kay"" Faylen', 'Joy Senese']",2.0,,,6.0,,dr72r5t,,,8.0,,M,1.0,1955.0,1968.0,,,24.0,37.0,,
15308,Ryan Phillippe,1974-09-10,Reese Witherspoon ( m.  1999;  div.  2007),3,,"
Actor
","New Castle, Delaware, U.S.",1976-03-22,"New Orleans, Louisiana, U.S.","Actress, producer, entrepreneur",Ryan Phillippe ( m.   1999 ;  div.   2007 ) Jim Toth ( m.   2011 ),3,-1.5304900169065758,44.65526328398256,43.12477326707598,['Reese Witherspoon'],[1999],[2007],"['Ryan Phillippe', 'Jim Toth']","[1999, 2011]",[2007],3.0,3.0,['Reese Witherspoon'],1.0,"['Ryan Phillippe', 'Jim Toth']",2.0,1.0,3.0,dr438km,9vrfqk7,20000000.0,8.0,3.0,M,1.0,1999.0,2007.0,1999.0,1999.0,25.0,33.0,23.0,23.0
15313,Ethan Phillips,1955-02-08,Patricia Cresswell (m. 1990),,,"Actor, playwright","Garden City, New York, U.S.",,,,,,,64.24225001197834,,['Patricia Cresswell'],[1990],,,,,,,['Patricia Cresswell'],1.0,,,2.0,,dr5xsqj,,,1.0,,M,0.0,1990.0,,,,35.0,,,
15316,Joseph C. Phillips,1962-01-17,Nicole Phillips ( m.  1994),3,,"Actor, writer, commentator","Denver, Colorado, United States",,,,,,,57.301655749262466,,['Nicole Phillips'],[1994],,,,,3.0,,['Nicole Phillips'],1.0,,,3.0,,9xj64fk,,,0.0,,M,0.0,1994.0,,,,32.0,,,
15318,Lou Diamond Phillips,1962-02-17,Julie Cypher ( m.  1987–1990) Kelly Diamond Phillips ( m.  1994–2004) Yvonne Boismier ( m.  2007),4,,"Actor, film director, television director, business investor with Tribeca Grill","U.S. Naval Base Subic Bay, Olongapo, Zambales, Philippines[1]",,,,,,,57.21678063204583,,"['Julie Cypher', 'Kelly Diamond Phillips', 'Yvonne Boismier']","[1987, 1994, 2007]",,,,,4.0,,"['Julie Cypher', 'Kelly Diamond Phillips', 'Yvonne Boismier']",3.0,,,10.0,,wdts1j7,,,1.0,,M,1.0,1987.0,,,,25.0,,,
15323,Ben Piazza,1933-07-30,Dolores Dorn ( m.  1967;  div.  1979),,,"Actor, playwright, author","Little Rock, Arkansas, U.S.",1934-03-03,"Chicago, Illinois",Actress,Franchot Tone ( m.  1956;  div.  1959) Ben Piazza ( m.  1967;  div.  1979),,-0.5913879135095177,85.77041280792898,85.17902489441946,['Dolores Dorn'],[1967],[1979],"['Franchot Tone', 'Ben Piazza']","[1956, 1967]","[1959, 1979]",,,['Dolores Dorn'],1.0,"['Franchot Tone', 'Ben Piazza']",2.0,3.0,1.0,9ynmevk,dp3wjzt,20000000.0,7.0,2.0,M,1.0,1967.0,1979.0,1956.0,1956.0,34.0,46.0,22.0,22.0
15325,Robert Picardo,1953-10-27,Linda Pawlik (m. 1984-2014),2,William Penn Charter School,Actor,"Philadelphia, Pennsylvania, U.S.",,,,,,,65.52632839825596,,['Linda Pawlik'],[1984],,,,,2.0,,['Linda Pawlik'],1.0,,,1.0,,dr4e394,,,10.0,,M,0.0,1984.0,,,,31.0,,,
15326,Paul Picerni,1922-12-01,Marie Mason ( m.  1947; his death 2011),8,,Actor,"New York City, U.S.",,,,,,,96.43182269314222,,['Marie Mason'],[1947],,,,,8.0,,['Marie Mason'],1.0,,,1.0,,dr5regw,,,11.0,,M,0.0,1947.0,,,,25.0,,,
15329,James Pickens Jr.,1954-10-26,Gina Taylor ( m.  1984),2,,,"Cleveland, Ohio, U.S.",,,,,,,64.52973024771215,,['Gina Taylor'],[1984],,,,,2.0,,['Gina Taylor'],1.0,,,,,dpmuhfx,,,10.0,,M,0.0,1984.0,,,,30.0,,,
15332,Jack Pickford,1896-08-18,Olive Thomas ( m.  1916; died 1920) Marilyn Miller ( m.  1922;  div.  1927) Mary Mulhern ( m.  1930),,,"Actor, director, producer","Toronto, Ontario, Canada",1894-10-20,"Charleroi, Pennsylvania, U.S.","Actress, model",Bernard Krug Thomas ( m.  1911;  div.  1913) Jack Pickford ( m.  1916; her death 1920),,1.8289218806683232,122.71572996023191,124.54465184090023,"['Olive Thomas', 'Marilyn Miller', 'Mary Mulhern']","[1916, 1922, 1930]",[1927],"['Bernard Krug Thomas', 'Jack Pickford']","[1911, 1916]",[1913],,,"['Olive Thomas', 'Marilyn Miller', 'Mary Mulhern']",3.0,"['Bernard Krug Thomas', 'Jack Pickford']",2.0,3.0,2.0,dpz83df,dpphmfg,625441.0,7.0,9.0,M,1.0,1916.0,1927.0,1911.0,1911.0,20.0,31.0,17.0,17.0
15335,Walter Pidgeon,1897-09-23,Edna Pickles ( m.  1922; died 1926)     Ruth Walker  ( m.  1931),1 (with Pickles),University of New Brunswick,Actor,"Saint John, New Brunswick, Canada",,,,,,,121.61782925042952,,"['Edna Pickles', 'Ruth Walker']","[1922, 1931]",,,,,1.0,,"['Edna Pickles', 'Ruth Walker']",2.0,,,1.0,,f81189y,,,9.0,,M,1.0,1922.0,,,,25.0,,,
