,divorce
2888,0.0
2889,1.0
2890,1.0
2891,1.0
2892,0.0
2893,1.0
2894,1.0
2895,1.0
2896,1.0
2897,0.0
2898,0.0
2899,1.0
2900,0.0
2901,0.0
2902,1.0
2903,1.0
2904,1.0
2905,0.0
2906,1.0
2907,0.0
2908,1.0
2909,1.0
2910,1.0
2911,1.0
2912,1.0
2913,0.0
2914,1.0
2915,0.0
2916,1.0
2917,1.0
2918,0.0
2919,1.0
2920,0.0
2921,0.0
2922,1.0
2923,0.0
2924,0.0
2925,1.0
2926,1.0
2927,1.0
2928,1.0
2929,1.0
2930,1.0
2931,1.0
2932,0.0
2933,1.0
2934,0.0
2935,1.0
2936,1.0
2937,1.0
2938,1.0
2939,0.0
2940,1.0
2941,1.0
2942,0.0
2943,1.0
2944,1.0
2945,0.0
2946,0.0
2947,0.0
2948,0.0
2949,0.0
2950,1.0
2951,0.0
2952,0.0
2953,1.0
2954,1.0
2955,1.0
2956,1.0
2957,0.0
2958,1.0
2959,1.0
2960,0.0
2961,1.0
2962,1.0
2963,0.0
2964,1.0
2965,0.0
2966,0.0
2967,1.0
2968,1.0
2969,0.0
2970,1.0
2971,1.0
2972,0.0
2973,1.0
2974,1.0
2975,1.0
2976,0.0
2977,1.0
2978,1.0
2979,1.0
2980,0.0
2981,1.0
2982,1.0
2983,0.0
2984,1.0
2985,1.0
2986,0.0
2987,1.0
2988,1.0
2989,1.0
2990,0.0
2991,1.0
2992,1.0
2993,1.0
2994,0.0
2995,1.0
2996,1.0
2997,1.0
2998,1.0
2999,1.0
3000,1.0
3001,1.0
3002,0.0
3003,1.0
3004,0.0
3005,0.0
3006,1.0
3007,1.0
3008,0.0
3009,1.0
3010,0.0
3011,0.0
3012,0.0
3013,0.0
3014,1.0
3015,1.0
3016,1.0
3017,1.0
3018,1.0
3019,1.0
3020,0.0
3021,0.0
3022,1.0
3023,1.0
3024,1.0
3025,0.0
3026,0.0
3027,1.0
3028,1.0
3029,1.0
3030,1.0
3031,1.0
3032,1.0
3033,1.0
3034,1.0
3035,0.0
3036,0.0
3037,1.0
3038,1.0
3039,1.0
3040,1.0
3041,1.0
3042,0.0
3043,1.0
3044,1.0
3045,1.0
3046,1.0
3047,0.0
3048,1.0
3049,0.0
3050,1.0
3051,0.0
3052,1.0
3053,1.0
3054,0.0
3055,1.0
3056,0.0
3057,1.0
3058,1.0
3059,0.0
3060,0.0
3061,1.0
3062,0.0
3063,1.0
3064,0.0
3065,0.0
3066,1.0
3067,0.0
3068,1.0
3069,1.0
3070,0.0
3071,1.0
3072,0.0
3073,1.0
3074,1.0
3075,1.0
3076,1.0
3077,1.0
3078,0.0
3079,0.0
3080,0.0
3081,1.0
3082,1.0
3083,0.0
3084,1.0
3085,1.0
3086,1.0
3087,0.0
3088,0.0
3089,0.0
