,name,bday,name_sp,num_of_child,education,role,birthplace,bday_sp,birthplace_sp,role_sp,name_sp_sp,num_of_child_sp
843,Kate Hudson,1979-04-19,Chris Robinson ( m.  2000;  div.  2007),3,,"Actress, singer, author, businesswoman","Los Angeles ,  California , U.S.",,,,,
844,Felicity Huffman,1962-12-09,William H. Macy  ( m.  1997),2,,Actress,"Bedford,  New York , U.S.",1950-03-13,"Miami ,  Florida , U.S. [1] [2]",Actor,Felicity Huffman  ( m.  1997),2
845,Sharon Hugueny,1944-02-29,American,1,,Actress,"Los Angeles , California, U.S.",1930-06-29,"New York City , U.S.","Film producer, studio executive","Sharon Hugueny ( m.  1961;  div.  1962) Camilla Sparv ( m.  1964;  div.  1967) Ali MacGraw ( m.  1969;  div.  1973) Phyllis George ( m.  1977;  div.  1978) Catherine Oxenberg ( m.   1998 ; annulled  1998 ) Leslie Ann Woodward ( m.  2002;  div.  2004) Victoria, Lady White ( m.  2005;  div.  2006)",Josh Evans
846,Josephine Hull,1877-01-03,Shelly Hull ( m.  1910; died 1919),,,Actress,"Newtonville, Massachusetts , U.S.",1884-06-17,"Louisville, Kentucky , U.S.",Actor,Josephine Sherwood  ( m.  1910),
847,Gayle Hunnicutt,1943-02-06,David Hemmings ( m.  1968;  div.  1975) Sir Simon Jenkins ( m.  1978;  div.  2009),"2, including   Nolan Hemmings",,Actress Writer Model,"Fort Worth, Texas , U.S.",1941-11-18,"Guildford ,  Surrey , England","Actor,  director ,  producer ,  screenwriter ,  singer-songwriter  ( operatic   boy soprano ) and  pop singer )",Genista Ouvry ( m.  1960;  div.  1967) Gayle Hunnicutt ( m.  1968;  div.  1975) Prudence de Casembroot ( m.  1976;  div.  1997) Lucy Williams  ( m.  2002),"6, including  Nolan Hemmings"
848,Helen Hunt,1963-06-15,Hank Azaria ( m.  1999;  div.  2000),2,,"Actress, director, screenwriter","Culver City, California , U.S.",1964-04-25,"Queens ,  New York City , U.S.","Actor, voice actor, comedian, producer",Helen Hunt ( m.  1999;  div.  2000) Katie Wright  ( m.  2007),1
849,Linda Hunt,1945-04-02,Karen Kline ( m.  2008),,,Actress,"Morristown, New Jersey , U.S. [1]",,,,,
850,Holly Hunter,1958-03-20,Janusz Kamiński ( m.  1995;  div.  2001),2,Carnegie Mellon University (BFA),"Actress, producer","Conyers ,  Georgia , U.S.",1959-06-27,"Ziębice ,  Poland","Cinematographer ,  film director ,  television director",Holly Hunter ( m.  1995;  div.  2001) Rebecca Rankin ( m.  2004;  div.  2010),
851,Kaki Hunter,1955-11-06,,,,Actress architect writer,"Topanga Canyon ,  California , United States",,,,,
852,Kim Hunter,1922-11-12,William Baldwin (1944–46; divorced; 1 child) Robert Emmett (1951–2000; his death; 1 child),Kathryn Deirdre Baldwin (b. 1944) Sean Robert Emmett (1954) [1],,Actress,"Detroit ,  Michigan , U.S.",,,,,
853,Mary Beth Hurt,1946-09-26,William Hurt ( m.  1971;  div.  1982) Paul Schrader  ( m.  1982),2,University of Iowa (BA)New York University (MFA),Actress,"Marshalltown, Iowa , U.S.",1950-03-20,"Washington, D.C. ,  U.S.",Actor,Mary Beth Hurt ( m.  1971;  div.  1982) Heidi Henderson ( m.  1989;  div.  1992),4
854,Ruth Hussey,1911-10-30,Charles Robert Longenecker (1942–2002) (his death),"3, including  John Longenecker",,Actress,"Providence, Rhode Island , U.S.",,,,,
855,Anjelica Huston,1951-07-08,Robert Graham ( m.  1992; died 2008),,Kylemore AbbeyHolland Park School,"Actress, director, producer, author","Santa Monica, California , U.S.",1938-08-19,"Mexico City ,  Mexico",,Joey Graham ( div. )  Anjelica Huston  ( m.  1992),
856,Lauren Hutton,1943-11-17,Robert Williamson (1964–1997),,,"Model, actress","Charleston ,  South Carolina , U.S.",,,,,
857,Martha Hyer,1924-08-10,C. Ray Stahl ( m.  1951;  div.  1954) Hal B. Wallis ( m.  1966; died 1986),,,Actress,"Fort Worth, Texas , U.S.",,,,,
858,Sarah Hyland,1990-11-24,,,Professional Performing Arts School,Actress,"New York City , U.S.",,,,,
859,Joyce Hyser,1957-12-20,,,,Actress,"New York ,  New York , U.S.",,,,,
860,Laura Innes,1957-08-16,David Brisbin (m. 1988),2,,"Actress, television director","Pontiac, Michigan , U.S.",,,,,
861,Kathy Ireland,1963-03-20,Greg Olsen ( m.  1988),3 [2],,"Model, actress, entrepreneur, businesswoman, author","Glendale, California , U.S.",,,,,
862,Marin Ireland,1979-08-30,,,,Actress,"Camarillo, California , U.S.",,,,,
863,Amy Irving,1953-09-10,"
 Steven Spielberg ( m.  1985;  div.  1989) 
 Bruno Barreto ( m.  1996;  div.  2005) 
 Kenneth Bowser  ( m.  2007) 
",2,,Actress,"Palo Alto ,  California , U.S.",1946-12-18,"Cincinnati, Ohio , U.S.","Film producer, film director, screenwriter",Amy Irving ( m.  1985;  div.  1989) Kate Capshaw  ( m.  1991),7 (including  Sasha  and  Jessica Capshaw )
864,Judith Ivey,1951-09-04,Ricardo Gutierrez ( m.  1973;  div.  1978)     Tim Braine ( m.  1989),2 (with Braine),Illinois State University,Actress  &  Theatre director,"El Paso ,  Texas ,  U.S.",,United States,"Actor ,  film director ,  teacher",,
865,Janet Jackson,1966-05-16,James DeBarge ( m.  1984; ann. 1985) René Elizondo Jr. ( m.  1991;  div.  2000) Wissam Al Mana ( m.  2012;  sep.  2017),1 (with Al Mana),,"
 Singer 
 songwriter 
 dancer 
 actress 
 record producer 
 film producer 
 businesswoman 
 philanthropist 
 author 
","Gary, Indiana ,  U.S.",1963-08-22,"Detroit, Michigan , U.S.",Singer,Janet Jackson ( m.  1984; ann. 1985),"3, including  Kristinia DeBarge"
866,Kate Jackson,1948-10-29,Andrew Stevens ( m.  1978;  div.  1981) David Greenwald ( m.  1982;  div.  1984) Tom Hart ( m.  1991;  div.  1993),1,University of Mississippi (withdrawn) Birmingham Southern College (withdrawn) American Academy of Dramatic Arts,"Actress, producer, director","Birmingham ,  Alabama , U.S.",1955-06-10,"Memphis, Tennessee , U.S.","Executive, film producer, film director, actor",Kate Jackson ( m.  1978;  div.  1982) Robyn Suzanne Scott ( m.  1995;  div.  2010) Diana Stevens ( m.  2016;  div.  2018),3
867,Shar Jackson,1976-08-31,Kevin Federline  (2001–2004),4,,"Actress, singer","Boston ,  Massachusetts , U.S.",,,,,
868,Sherry Jackson,1942-02-15,Fletcher R. Jones (1967– d.  1972),,,Actress,"Wendell ,  Gooding County   Idaho , USA",,,,,
869,Victoria Jackson,1959-08-02,,,,"Actress, comedian, singer","Miami, Florida",,,,,
870,Allison Janney,1959-11-19,,,Kenyon College (BA),Actress,"Boston ,  Massachusetts , U.S.",,,,,
871,Anne Jeffreys,1923-01-26,Joseph R. Serena  (1945-1949; annulled) Robert Sterling   (1951-2006; his death),3,,"Actress, singer","Goldsboro, North Carolina , U.S.",,,,,
872,Scarlett Johansson,1984-11-22,Ryan Reynolds ( m.  2008;  div.  2011) Romain Dauriac ( m.  2014;  div.  2017),1,,Actress singer,"New York City , U.S.",1976-10-23,"Vancouver ,  British Columbia , Canada","
 Actor 
 comedian 
 film producer 
 screenwriter 
",Scarlett Johansson ( m.  2008;  div.  2011) Blake Lively  ( m.  2012),2
873,Amy Jo Johnson,1970-10-06,Olivier Giner ( m.  2009),1,,"Actress, singer, songwriter, musician, director","Hyannis, Massachusetts , U.S.",,,,,
874,Ashley Johnson,1983-08-09,Brian Wayne Foster (engaged 2018),,,"Actress, voice actress, singer","Camarillo, California , U.S.",,,,,
875,Dakota Johnson,1989-10-04,,,,"
 Actress 
 model 
","Austin, Texas , U.S.",,,,,
876,Rita Johnson,1913-08-13,Stanley Kahn (1940–43; divorced) Edwin Hutzler (1943–46; divorced),,,Actress,"Worcester, Massachusetts , U.S.",,,,,
877,Kristen Johnston,1967-09-20,,,,Actress,"Washington, D.C. , U.S.",,,,,
878,Lynn-Holly Johnson,1958-12-13,Kelly Givens (1993–present) 2 children,Kellen Givens Jensie Givens,,"Figure skater, actress","Chicago, Illinois , U.S.",,,,,
879,JoJo,1990-12-20,,,,"
 Singer 
 songwriter 
 actress 
","Brattleboro, Vermont , U.S.",,,,,
880,Angelina Jolie,1975-06-04,Jonny Lee Miller ( m.  1996;  div.  2000) Billy Bob Thornton ( m.  2000;  div.  2003) Brad Pitt ( m.  2014;  div.  2019),6,,"
 Actress 
 filmmaker 
","Los Angeles ,  California , U.S.",1972-11-15,"London ,  England",Actor,"British, American [1]",1
881,Anissa Jones,1958-03-11,,,,"Actress, Student","Lafayette, Indiana , U.S.",,,,,
882,Carolyn Jones,1930-04-28,"
 Don Donaldson ( m.  1950;  div.  1951) [2] 
 Aaron Spelling ( m.  1953;  div.  1964) 
 Herbert Greene ( m.  1968;  div.  1977) 
 Peter Bailey-Britton ( m.  1982; her death 1983) 
",,Amarillo High School,"Actress, singer","Amarillo, Texas , United States",,,,,
883,Cherry Jones,1956-11-21," ( 1956-11-21 )  November 21, 1956  (age 62) Paris, Tennessee ,  U.S.",,Carnegie Mellon University (BFA),Actress,"Paris, Tennessee ,  U.S.",,,,,
884,Janet Jones,1961-01-10,Wayne Gretzky  ( m.  1988),5,,Actress,"Bridgeton, Missouri , United States",,,,,
885,January Jones,1978-01-05,,1,Roosevelt High School,"
 Actress 
 model 
","Sioux Falls ,  South Dakota , U.S.",,,,,
886,Jasmine Cephas Jones,1989-07-21,Anthony Ramos,,Fiorello H. LaGuardia High School,Actress singer,"New York City ,  New York , U.S.",,,,,
887,Jennifer Jones,1919-03-02,Robert Walker ( m.  1939;  div.  1945) David O. Selznick ( m.  1949; died 1965) Norton Simon ( m.  1971; died 1993),"3, including  Robert Walker Jr.",,"Actress, singer","Tulsa, Oklahoma , U.S.",1918-10-13,"Salt Lake City, Utah , U.S.",Actor,Jennifer Jones ( m.  1939;  div.  1945) Barbara Ford ( m.  1948;  div.  1948) Hanna Hertelendy  ( m.   1949 ),"2,  Robert Walker Jr.  and Michael Walker, actor, born 1941"
888,Jill Marie Jones,1975-01-04,,,,Actress,"Dallas, Texas , U.S.",,,,,
889,Marcia Mae Jones,1924-08-01,Robert Chic (2 children) (m.1943–1951) Bill Davenport (m.1955–1963; divorced),,,Actress,"Los Angeles, California",,,,,
890,Rashida Jones,1976-02-25,Ezra Koenig  (2017–present),1,,"Actress, writer, producer","Los Angeles ,  California , U.S.",,,,,
891,Shirley Jones,1934-03-31,"Singer, actress",3; including  Shaun  and  Patrick,,"Singer, actress","Charleroi, Pennsylvania , U.S.",1927-03-05,"Richmond Hill, Queens ,  New York City , U.S.","Actor, singer",Evelyn Ward ( m.  1948;  div.  1956) Shirley Jones ( m.  1956;  div.  1974),"4; including  David ,  Shaun ,  Patrick Cassidy"
892,Tamala Jones,1974-11-12,,,,Actress,"Pasadena, California , U.S.",,,,,
893,Dorothy Jordan,1906-08-09,Paul J. Barnes (?) Merian C. Cooper  (1933–1973) (his death) 3 children,"Col. Richard M. Cooper Dr. Elizabeth There
sa Henderson Mary Carolyn Cooper [1]",,Actress,"Clarksville, Tennessee , U.S.",,,,,
894,Milla Jovovich,1975-12-17,Shawn Andrews ( m.  1992; annulled 1992) Luc Besson ( m.  1997;  div.  1999) Paul W. S. Anderson  ( m.  2009),2,,"
 Actress 
 model 
 musician 
","Kiev ,  Ukrainian SSR ,  Soviet Union",,"Littleton ,  Massachusetts , U.S.",,,
895,Elaine Joyce,1945-12-19,Bobby Van ( m.  1968; died 1980) John Levoff ( m.  1985;  div.  1992) Neil Simon ( m.  1999; died 2018),2,,Actress,"Kansas City, Missouri , U.S.",1928-12-06,"The Bronx , New York, U.S.","Actor, singer, dancer, game show host",Diane Garrett ( m.  1952;  div.  1962) Elaine Joyce  ( m.  1968),2
896,Ella Joyce,1954-06-12,Dan Martin  ( m.  1992),,Cass Technical High SchoolEastern Michigan University,"Actress , author, acting coach, consultant","Chicago, Illinois , U.S.",1951-12-22,,Actor,Ella Joyce  (m. 1992),
897,Ashley Judd,1968-04-19,Dario Franchitti ( m.  2001;  div.  2013),,"University of Kentucky (BA)Harvard University (MPA)University of California, Berkeley","
 Actress 
 activist 
","Los Angeles ,  California , U.S.",,,,,
898,Victoria Justice,1993-02-19,,,Cleveland High School,"
 Actress 
 singer 
","Hollywood, Florida , U.S.",,,,,
899,Jane Kaczmarek,1955-12-21,Bradley Whitford ( m.  1992;  div.  2010),3,"University of Wisconsin, Madison (BA)Yale University (MFA)",Actress,"Milwaukee ,  Wisconsin , U.S.",1959-10-10,"Madison, Wisconsin , U.S.",Actor,Jane Kaczmarek ( m.  1992;  div.  2010),3
900,Madeline Kahn,1942-09-29,John Hansbury ( m.   1999 ),,,"Actress, singer, comedian, voice over artist","Boston ,  Massachusetts , U.S.",,,,,
901,Bianca Kajlich,1977-03-26,Landon Donovan ( m.  2006;  div.  2010) Michael Catherwood  ( m.  2012),1,,Actress,"Seattle, Washington , U.S.",,,,,
902,Mindy Kaling,1979-06-24,,1,Buckingham Browne & Nichols,"Actress, comedian, writer, producer","Cambridge, Massachusetts , U.S.",,,,,
903,Elena Kampouris,1997-09-16,,,,Actress,"New York City ,  New York , U.S.",,,,,
904,Melina Kanakaredes,1967-04-23,Peter Constantinides ( m.  1992),2,,Actress,"Akron, Ohio , United States",,,,,
905,Carol Kane,1952-06-18,,,,"Actress, comedian","Cleveland ,  Ohio , U.S.",,,,,
906,Chelsea Kane,1988-09-15,,,,"Actress, singer","Phoenix, Arizona , U.S.",,,,,
907,Mitzi Kapture,1962-05-02,,2,,Actress,"Yorba Linda, California , U.S.",,,,,
908,Julie Kavner,1950-09-07,David Davis  (1976–present),,,"Actress, voice actress","Los Angeles , California, U.S.",,,,,
909,Lainie Kazan,1940-05-15,Peter H. B. Danielson (1989 died of lung cancer),1,,"Actress, singer","Brooklyn ,  New York , U.S.",,,,,
910,Jane Kean,1923-04-10,Dick Linkroum ( m.  1962–1969) Joe Hecht ( m.  1970–2005),,,"Actress, singer","Hartford, Connecticut , U.S.",,,,,
911,Staci Keanan,1975-06-06,Guy Birtwhistle ( m.  2017),,,Actress (1987–2012) Attorney (2013–present),"Devon, Pennsylvania , US",,,,,
912,Diane Keaton,1946-01-05,,2,Santa Ana High School,"
 Actress 
 director 
 producer 
","Los Angeles ,  California , U.S.",,,,,
913,Arielle Kebbel,1985-02-19,,,,"Actress, model, singer","Winter Park, Florida , U.S.",,,,,
914,Monica Keena,1979-05-25,,,,Actress,"Brooklyn ,  New York , U.S.",,,,,
915,Catherine Keener,1959-03-23,Dermot Mulroney ( m.  1990;  div.  2007),1,,Actress,"Miami ,  Florida , U.S.",1963-10-31,"Alexandria, Virginia , U.S.",Actor,Catherine Keener ( m.  1990;  div.  2007) Tharita Cesaroni-Catulle ( m.  2008),3
916,Sally Kellerman,1937-06-02,Rick Edelstein ( m.  1970;  div.  1972) Jonathan D. Krane ( m.  1980; his death 2016),3,,"Actress, singer, film producer, voice-over artist, activist, author","Long Beach, California , U.S.",,,,,
917,Sheila Kelley,1961-10-09,Richard Schiff  ( m.  1996),2,Hempfield Area High School,Actress,"Greensburg, Pennsylvania , U.S.",1955-05-27,"Bethesda, Maryland , U.S.","Actor, comedian",Sheila Kelley  ( m.  1996),2
918,Catherine Kellner,1970-10-02,Reuben Avery,1,New York University (MFA),,"Manhattan ,  New York , U.S.",,,,,
919,Jean Louisa Kelly,1972-03-09,James Pitaro ( m.  1997),2,,"Actress, singer","Worcester, Massachusetts , U.S.",,,,,
920,Lisa Robin Kelly,1970-03-05,Robert Joseph Gilliam ( m.  2012; her death 2013)   [1],,DePaul University (BFA),Actress,"Southington, Connecticut ,  U.S.",,,,,
921,Minka Kelly,1980-06-24,,,Valley High School,"Actress, model","Los Angeles ,  California , U.S.",,,,,
922,Moira Kelly,1968-03-06,Steve Hewitt ( m.  2000),2,,Actress,"Queens, New York , U.S.",,,,,
923,Nancy Kelly,1921-03-25,"Edmond O'Brien (m.1941–1942; divorced) Fred Jackman, Jr. (m.1946–1950; divorced) Warren Caro (m.1955–1968; divorced) 1 child",Kelly Lurie Caro (b. 1957),,Actress,"Lowell, Massachusetts , U.S.",,,,,
924,Patsy Kelly,1910-01-12,,,,Actress,"Brooklyn , New York, U.S.",,,,,
925,Paula Kelly,1943-10-21,,,Fiorello H. LaGuardia High School,"Actress, dancer","Jacksonville, Florida , U.S.",,,,,
926,Anna Kendrick,1985-08-09,,,Deering High School,"Actress, singer","Portland, Maine , United States",,,,,
927,Barbara Kent,1907-12-16,Harry E. Edington ( m.  1932; died 1949) Marc Monroe ( m.  1954; died 1998),,,Film actress,"Gadsby, Alberta , Canada",,,,,
928,Riley Keough,1989-05-29,Ben Smith-Petersen ( m.   2015 ),,,Model actress producer,"Santa Monica, California ,  U.S.",,,,,
929,Joanna Kerns,1953-02-12,Richard Kerns ( m.  1976;  div.  1985) Marc Appleton ( m.  1994),,,"Actress, director","San Francisco ,  California , U.S.",,,,,
930,Alicia Keys,1981-01-25,Swizz Beatz  ( m.  2010),2,,Singer-songwriter musician record producer philanthropist actress,"New York City , U.S.",1978-09-13,"New York , U.S.",Record producer disc jockey rapper songwriter entrepreneur,Mashonda ( m.  2004;  div.  2010) Alicia Keys  ( m.  2010),5
931,Margot Kidder,1948-10-17,"
 Thomas McGuane ( m.  1975;  div.  1977) 
 John Heard ( m.  1979;  div.  1980) 
 Philippe de Broca ( m.  1983;  div.  1984) 
",1,Havergal College,Actress activist,"Yellowknife ,  Northwest Territories ,  Canada",,,,,
932,Nicole Kidman,1967-06-20,Tom Cruise ( m.   1990 ;  div.   2001 ) Keith Urban  ( m.   2006 ),4,,"
 Actress 
 producer 
","Honolulu ,  Hawaii , U.S.",1962-07-03,"Syracuse, New York , U.S.","Actor, producer",Mimi Rogers ( m.   1987 ;  div.   1990 ) Nicole Kidman ( m.   1990 ;  div.   2001 ) Katie Holmes ( m.   2006 ;  div.   2012 ),3
933,Laura Kightlinger,,,,,"Actress, comedian, writer, producer",,,,,,
934,Adrienne King,1955-07-21,Richard Hassanein ( m.  1987),,Royal Academy of Dramatic Art,Actress winemaker painter,"Oyster Bay ,  New York , U.S.",,,,,
935,Jaime King,1979-04-23,Kyle Newman  ( m.  2007),2,,"Actress ,  model","Omaha, Nebraska , U.S.",1976-03-16,"Morristown ,  New Jersey ,  U.S.","Film director ,  producer ,  screenwriter ,  editor ,  author",Jaime King  (m. 2007),2
936,Kent Masters King,1974-08-05,,,,Actress,"Los Angeles ,  California ,  U.S.",,,,,
937,Joey King,1999-07-30,,,,Actress,"Los Angeles ,  California , U.S.",,,,,
938,Regina King,1971-01-15,"Ian Alexander, Sr. ( m.  1997;  div.  2007)",1,,Actress television director,"Los Angeles, California ,  United States",,,,,
939,Phyllis Kirk,1927-09-18,Warren Bush (? – 1992),,,Actress,"Syracuse, New York ,  U.S.",,,,,
940,Lola Kirke,1990-09-27,,,,"
 Actress 
 singer-songwriter 
 musician 
","Westminster, London , England",,,,,
941,Sally Kirkland,1941-10-31,,,,Actress,"New York City ,  New York , United States",,,,,
942,Tawny Kitaen,1961-08-05,David Coverdale  (1989–1991) Chuck Finley  (1997–2002),2,,"Actress, comedian","San Diego, California",,,,,
943,Eartha Kitt,1927-01-17,John W. McDonald ( m.  1960;  div.  1965),1,,Singer actress dancer activist author songwriter,"North  or  St. Matthews, South Carolina , U.S.",,,,,
944,Hayley Kiyoko,1991-04-03,The Stunners Kehlani,,,Singer songwriter actress,"Los Angeles ,  California , U.S.",,,,,
945,Alexis Knapp,1989-07-31,,1,,Actress,"Avonmore, Pennsylvania , U.S.",,,,,
946,Karen Kopins,1961-10-10,Mark Shaw ( m.  1990),4,,"Actress, model","Ridgefield, Connecticut , U.S.",,,,,
947,Shirley Knight,1936-07-05,"Gene Persson  (1959–69) 1 child [1]   John Hopkins  (1969–98, his death) 1 child","2, including  Kaitlin Hopkins",,Actress,"Goessel, Kansas",,,,,
948,Keshia Knight Pulliam,1979-04-09,Ed Hartwell ( m.  2016;  div.  2018),1,Spelman College,Actress,"Newark, New Jersey ,  U.S.",,,,,
949,Beyoncé,1981-09-04,Jay-Z  ( m.   2008 ),3,,"
 Singer 
 songwriter 
 actress 
 record producer 
 dancer 
","Houston ,  Texas , U.S.",1969-12-04,"New York City , New York, U.S.","
 Rapper 
 songwriter 
 record producer 
 record executive 
 entrepreneur 
 investor 
 philanthropist 
",Beyoncé  ( m.   2008 ),3
950,Susan Kohner,1936-11-11,John Weitz ( m.  1964; died 2002),Paul Weitz Chris Weitz,,Actress,"Los Angeles, California , United States",1923-05-23,"Berlin , Germany",Menswear designer Novelist and Historian,Sally Blauner Gould (1944‑1953; divorce) Eve Orton (1953‑1964; divorce) Susan Kohner  ( m.  1964),4
951,Karen Kopins,1961-10-10,Mark Shaw ( m.  1990),4,,"Actress, model","Ridgefield, Connecticut , U.S.",,,,,
952,Nancy Kovack,1935-03-11,Zubin Mehta  ( m.  1969),2,,,"Flint, Michigan , U.S.",1936-04-29,"Bombay ,  Bombay Presidency ,  British India (now  Mumbai ,  Maharashtra , India)",Conductor,Carmen Lasky ( m.  1958;  div.  1964) Nancy Kovack  ( m.  1969),3
953,Linda Kozlowski,1958-01-07,Paul Hogan ( m.  1990;  div.  2014) [1],Chance Hogan,Juilliard School (BFA),Actress,"Fairfield, Connecticut ,  U. S.",1939-10-08,"Lightning Ridge, New South Wales ,  Australia","Actor, producer, writer, comedian, television presenter, businessman, labourer",Noelene Edwards ( m.  1958;  div.  1981) & ( m.  1982;  div.  1990) Linda Kozlowski ( m.  1990;  div.  2014) [3],Lauren Brett Scott Todd Clay Chance
954,Jane Krakowski,1968-10-11,Robert Godley  (2009–2013),1,,"Actress, singer","Parsippany-Troy Hills, New Jersey , U.S.",,,,,
955,Clare Kramer,1974-09-03,Brian Keathley (m. 2005),4,,Actress,"Atlanta ,  Georgia , U.S.",,,,,
956,Louisa Krause,1986-05-20,,,,Actress,"Falls Church ,  Virginia , U.S.",,,,,
957,Lisa Kudrow,1963-07-30,Michel Stern ( m.   1995 ),1,William Taft High School,Actress  •  voice actress  •  writer  •  comedian  •  producer,"Los Angeles ,  California , U.S.",,,,,
958,Mila Kunis,1983-08-14,Ashton Kutcher  ( m.  2015),2,,Actress,"Chernivtsi ,  Ukrainian SSR ,  Soviet Union (now Chernivtsi,  Ukraine )",1978-02-07,"Cedar Rapids, Iowa , U.S.","Actor, producer, entrepreneur",Demi Moore ( m.  2005;  div.  2013) Mila Kunis  ( m.  2015),2
959,Swoosie Kurtz,1944-09-06,,,,Actress,"Omaha, Nebraska , U.S.",,,,,
960,Nancy Kwan,1939-05-19,Peter Pock ( m.  1962;  div.  1968) David Giler ( m.  1970;  div.  1972) Norbert Meisel ( m.  1976),1,,Actress,Hong Kong,,,,,
961,Eva LaRue,1966-12-27,John O'Hurley ( m.  1992;  div.  1994) John Callahan ( m.  1996;  div.  2005) Joe Cappuccio ( m.  2010;  div.  2014),1,,"Actress, model","Long Beach, California , U.S.",1954-10-09,"Kittery, Maine , U.S.","Actor, voice actor, singer, comedian, author, television personality",Eva LaRue ( m.  1992;  div.  1994)   Lisa Mesloh ( m.  2004),1
962,Cheryl Ladd,1951-07-12,David Ladd ( m.  1973;  div.  1980) Brian Russell  ( m.  1981),Jordan Ladd  (b. 1975)  Lindsay Russell (stepdaughter),,"Actress, singer, author","Huron, South Dakota , U.S.",1947-02-05,"Los Angeles ,  California , U.S.",,Louise Hendricks ( m.  1971;  div.  1972) Cheryl Ladd ( m.  1973;  div.  1980) Dey Young ( m.  1982;  div.  2012) Edita Brychta ( m.  2017),"2,; including  Jordan Ladd"
963,Diane Ladd,1935-11-29,"Bruce Dern ( m.  1960;  div.  1969) William A. Shea, Jr. ( m.  1969;  div.  1976) Robert Charles Hunter  ( m.  1999)","2, including  Laura Dern",,"Actress, director, producer, writer","Meridian, Mississippi , U.S.",1936-06-04,"Chicago ,  Illinois , U.S.",Actor,Marie Dean ( m.  1957–1959) Diane Ladd  ( m.  1960–1969) Andrea Beckett ( m.  1969),"2, including  Laura Dern"
964,Christine Lahti,1950-04-04,Thomas Schlamme  ( m.  1983),3,,Actress,"Birmingham, Michigan , U.S.",1950-05-22,"Houston ,  Texas , U.S.","Director, producer",Christine Lahti  ( m.  1983),3
965,Sanoe Lake,1982-05-19,Michael Sterling Eaton  (2007-present) 2 children,,,"Actress, Model, Surfer","Kauai ,  Hawaii",,,,,
966,Ricki Lake,1968-09-21,Rob Sussman ( m.  1994;  div.  2004) Christian Evans ( m.  2012;  div.  2015),2,Ithaca College (attended),Actress television host producer,"Hastings-on-Hudson, New York , U.S.",,,,,
967,Veronica Lake,1922-11-14,John S. Detlie ( m.  1940;  div.  1943) Andre DeToth ( m.  1944;  div.  1952) Joseph Allan McCarthy ( m.  1955;  div.  1959),4,"St. Bernard's School (Saranac Lake, New York)Villa MariaMiami High School",Actress,"Brooklyn, New York , United States",1908-12-23,"Sioux Falls, South Dakota , U.S.",Art/set director for films,"November 30, 2005 (2005-11-30)  (aged 96) La Quinta, California , U.S.",4
968,Christine Lakin,1979-01-25,Brandon Breault ( m.   2014 ),2,,Actress,"Dallas ,  Texas , U.S.",,,,,
969,Hedy Lamarr,1914-11-09,"Actress, inventor",3,,"Actress, inventor","Vienna ,  Austria-Hungary",1900-02-09,"Vienna ,  Austria-Hungary",,Helene Strauss (divorced) Hedy Lamarr  (m. 1933–37; divorced) Herta Wrany (divorced) Gloria de Quaranta (divorced) Monika Brücklmeier,
970,Dorothy Lamour,1914-12-10,Herbie Kay ( m.  1935;  div.  1939) William Ross Howard III ( m.  1943; died 1978),2,,"
 Actress 
 singer 
","New Orleans, Louisiana , U.S.",,,,,
971,Sarah Lancaster,1980-02-12,Matthew Jacobs ( m.  2011),1,,Actress,"Overland Park, Kansas , U.S.",,,,,
972,Juliet Landau,1965-03-30,Deverill Weekes,,,"Actress, director, producer, ballerina","Los Angeles ,  California , U.S.",,,,,
973,Ricki Noel Lander,1979-12-14,Robert Kraft,1,B.A. & B.S. Florida International University,Actress,"Salt Lake City ,  Utah",,,,,
974,Audrey Landers,1956-07-18,Donald Berkowitz ( m.  1988),2,,"
 Actress 
 singer 
 writer 
 producer 
","Philadelphia, Pennsylvania , U.S.",,,,,
975,Judy Landers,1958-10-07,Tom Niedenfuer  ( m.  1987),2,,Actress,"Philadelphia, Pennsylvania , U.S.",,,,,
976,Carole Landis,1919-01-01,"
 Irving Wheeler ( m.  1934; annulled 1934) 
 Irving Wheeler ( m.  1934;  div.  1939) 
 Willis Hunt Jr. ( m.  1940;  div.  1940) 
 Thomas C. Wallace ( m.  1943;  div.  1945) 
 W. Horace Schmidlapp ( m.  1945–1948) 
",,San Bernardino High School,"Actress, Singer","Fairchild, Wisconsin , U.S.",,,,,
977,June Lang,1917-05-05,Victor Orsatti  (1937–1938)  (divorced) John Roselli  (1940–1943) (divorced) John Morgan (1946–1952) (divorced) 1 child,Patricia Morgan,,Actress,"Minneapolis, Minnesota , U.S.",,,,,
978,Diane Lane,1965-01-22,Christopher Lambert ( m.  1988;  div.  1994) Josh Brolin ( m.  2004;  div.  2013),1,,Actress,"New York City , U.S.",1957-03-29,"Great Neck, New York , U.S.","Actor,  novelist, film producer","Actor,  novelist, film producer",1
979,Priscilla Lane,1915-06-12,"
 Oren W. Haglund ( m.  1939; annulled 1939) 
 Joseph A. Howard ( m.  1942; died 1976) 
",Four,,,"Indianola, Iowa , U.S.",1905-11-23,Michigan,"Screenwriter 
 Assistant  film director 
 Production manager  of eleven  ABC / Warner Brothers   television series 
 
 United States Army Air Corps   Captain  in  World War II","Priscilla Lane  (Together one day in 1939,  annulled )
Helen Louise Persley",
980,Sasha Lane,1995-09-28,,,,Actress,"Houston, Texas , U.S.",,,,,
