,name,bday,sex,age,age_diff,zodiac,zodiac_sp,num_of_m,num_of_m_sp,num_of_child_cl,num_of_child_sp_cl,num_of_role,num_of_role_sp,geohash,geo_distance,age_m_1,age_div_1,age_m_sp_1,age_div_sp_1,divorce
20594,Tuc Watkins,1966-09-02,M,52.677330814458884,,8.0,,,,2.0,,1.0,,9yuww8y,,,,,,
20595,Bobs Watson,1930-11-11,M,88.48641655886158,,10.0,,,,,,1.0,,9q5ctr1,,,,,,
20596,Barry Watson,1974-04-23,M,45.03857026496096,,4.0,,3.0,,3.0,,1.0,,dpgnesu,,22.0,28.0,,,1.0
20597,Bobby Watson,,M,,,,,,,,,,,dp04rfn,,,,,,
20598,Cameron Watson,1961-10-06,M,57.583660170982284,,9.0,,,,,,5.0,,dng18e8,,,,,,
20599,David Watson,,M,,,,,,,,,1.0,,9v6kpvc,,,,,,
20600,Delmar Watson,1926-07-01,M,92.85064032800129,,6.0,,,,,,,,9q5ctr1,,,,,,
20601,Duncan Watson,,M,,,,,,,,,4.0,,dr70r24,,,,,,
20602,Harry R. Watson,1921-08-31,M,97.68304619533598,,8.0,,,,,,2.0,,9q5ctr1,,,,,,
20603,Mills Watson,1940-07-10,M,78.82434273119914,,6.0,,,,,,1.0,,9q9p1dh,,,,,,
20604,Minor Watson,1889-12-22,M,129.37158189422095,,0.0,,,,,,4.0,,9ypmyf2,,,,,,
20605,Muse Watson,1948-07-20,M,70.79679938670883,,6.0,,,,,,1.0,,9vw60k5,,,,,,
20606,Roy Watson,1876-08-06,M,142.7489955303668,,7.0,,,,,,1.0,,dq8vtfh,,,,,,
20607,William Watson,1938-10-05,M,80.58755484369973,,9.0,,,,,,1.0,,dp3wjzt,,,,,,
20608,Craig Wayans,1976-03-27,M,43.11108373204103,,3.0,,,,,,5.0,,dr5regw,,,,,,
20609,Damien Dante Wayans,1980-04-15,M,39.058981361698045,,3.0,,,,,,4.0,,dr5regw,,,,,,
20610,Damon Wayans Jr.,1982-11-18,M,36.46618342607994,,10.0,,1.0,,2.0,,3.0,,druh5jh,,34.0,,,,0.0
20611,Keenen Ivory Wayans,1958-06-08,M,60.91295509148032,,5.0,,,,5.0,,3.0,,dr5regw,,,,,,
20612,Marlon Wayans,1972-07-23,M,46.78809284242661,,7.0,,,,2.0,,2.0,,dr5regw,,,,,,
20613,Shawn Wayans,1971-01-19,M,48.29667960327728,,0.0,,,,3.0,,4.0,,dr5regw,,,,,,
20614,David Wayne,1914-01-30,M,105.26704860469414,,1.0,,,,3.0,,2.0,,dpgnesu,,,,,,
20615,Fredd Wayne,1924-10-17,M,94.55361848634813,,9.0,,,,,,5.0,,dpq18yx,,,,,,
20616,John Wayne,1907-05-26,M,111.95027960875306,,5.0,,3.0,,7.0,,3.0,,9zm5hsj,,26.0,38.0,,,1.0
20617,Keith Wayne,1945-01-16,M,74.30405826266113,,0.0,,,,,,,,dpnutcq,,,,,,
20618,Matt Wayne,1986-03-17,M,33.139626412588896,,2.0,,,,,,1.0,,dr17q4b,,,,,,
20619,Patrick Wayne,1939-07-15,M,79.81272716072199,,6.0,,,,4.0,,1.0,,9q5ctr1,,,,,,
20620,Randy Wayne,1981-08-07,M,37.74752390535056,,7.0,,,,,,1.0,,9y69j9k,,,,,,
20621,Jake Weary,1990-02-14,M,29.22441939259533,,1.0,,,,,,5.0,,dr4ufcc,,,,,,
20622,Michael Weatherly,1968-07-08,M,50.82924358474165,-4.690034702971314,6.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,dr5regw,20000000.0,27.0,29.0,22.0,22.0,1.0
20623,Carl Weathers,1948-01-14,M,71.31152590402267,,0.0,,3.0,,2.0,,4.0,,9vrfqk7,,25.0,35.0,,,1.0
20624,Sean Weathers,1980-01-14,M,39.31086880634099,,0.0,,,,,,7.0,,d8y5ehb,,,,,,
20625,Rudd Weatherwax,1907-09-23,M,111.62173076791449,,9.0,,,,,,,,9tgusrw,,,,,,
20626,Blayne Weaver,1976-04-09,M,43.07549094095018,,3.0,,,,,,5.0,,9vv2gp6,,,,,,
20951,Doodles Weaver,1911-05-11,M,107.9912660766477,,4.0,,,,3.0,,4.0,,9q5ctr1,,,,,,
20952,Fritz Weaver,1926-01-19,M,93.29691917014038,,0.0,,2.0,,,,3.0,,dppn59u,,27.0,53.0,,,1.0
20953,Jason Weaver,1979-07-18,M,39.80369206759893,,6.0,,,,,,2.0,,dp3wjzt,,,,,,
20954,Lee Weaver,1930-04-10,M,89.07506656536411,,3.0,,,,1.0,,1.0,,dhxh87m,,,,,,
20955,Clifton Webb,1889-11-19,M,129.46193282545158,,10.0,,,,,,3.0,,dp4dprt,,,,,,
20956,Jack Webb,1920-04-02,M,99.09580621094204,-6.483363792548786,3.0,9.0,4.0,2.0,,5.0,4.0,2.0,9q59x9j,625441.0,27.0,34.0,21.0,21.0,1.0
20957,Richard Webb,1915-09-09,M,103.65989719159187,,8.0,,,,,,,,dp0wqcu,,,,,,
20958,Brian Webber,1967-12-19,M,51.38230080015333,,11.0,,,,,,1.0,,djfq8tf,,,,,,
20959,Mark Webber,1980-07-19,M,38.79888019603414,-5.607233550312464,6.0,2.0,1.0,1.0,4.0,3.0,3.0,2.0,9zvxvey,20000000.0,33.0,,27.0,27.0,0.0
20960,Robert Webber,1924-10-14,M,94.56183220736908,,9.0,,,,,,1.0,,9mupvz5,,,,,,
20961,Rod Webber,,M,,,,,,,,,3.0,,drt2zp2,,,,,,
20962,Brent Weber,1980-07-16,M,38.80709391705511,,6.0,,,,,,5.0,,9vm7b42,,,,,,
20963,Charlie Weber,1978-09-20,M,40.62780207670247,,8.0,,1.0,,1.0,,1.0,,9yy7qw9,,37.0,38.0,,,1.0
20964,Karl Weber,,M,,,,,,,,,1.0,,9zr4c49,,,,,,
20965,Steven Weber,1961-03-04,M,58.17504808449181,0.9856465225158628,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,dr5x874,20000000.0,24.0,31.0,25.0,25.0,1.0
21134,Gary Weeks,1972-06-04,M,46.922250285769046,,5.0,,,,,,5.0,,u0vugs2,,,,,,
21157,Paul Weigel,1867-02-18,M,152.2139400535261,,2.0,,,,,,1.0,,u30sbqe,,,,,,
21158,Rafer Weigel,1969-05-05,M,50.005133575638105,,4.0,,,,,,1.0,,drk4urz,,,,,,
21159,Brent Weinbach,,M,,,,,,,,,4.0,,,,,,,,
21160,Erik Weiner,1977-06-07,M,41.91461836998706,,5.0,,,,,,4.0,,9q8yyk8,,,,,,
21161,Scott Weinger,1975-10-05,M,43.58747955125704,,9.0,,1.0,1.0,1.0,1.0,5.0,4.0,dr5reg9,,33.0,,,,0.0
21162,Adam Weisman,1986-07-29,M,32.77274687365244,,7.0,,,,,,,,9yegjbp,,,,,,
21163,Kevin Weisman,1970-12-29,M,48.35417565042403,,0.0,,,,,,9.0,,9q5ctr1,,,,,,
21164,Shaun Weiss,1978-08-27,M,40.69351184487019,,8.0,,,,,,1.0,,,,,,,,
21165,Morgan Weisser,1971-05-12,M,47.98729611148757,,4.0,,,,,,,,9q5c24v,,,,,,
21166,Jeffrey Weissman,1958-10-02,M,60.59535787866965,,9.0,,1.0,,,,,,9q59x9j,,46.0,,,,0.0
21167,Johnny Weissmuller,1904-06-02,M,114.92912243235659,,5.0,,5.0,,3.0,,2.0,,u2ph1gb,,27.0,29.0,,,1.0
21168,Bruce Weitz,1943-05-27,M,75.9468024668542,-4.73384121508313,5.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,dr7cct3,20000000.0,28.0,37.0,23.0,23.0,1.0
21169,Christopher Evan Welch,1965-09-28,M,53.60548128982799,,9.0,,1.0,,1.0,,1.0,,dqchk29,,43.0,,,,0.0
21170,Niles Welch,1888-07-29,M,130.7706523747921,,7.0,,,,,,1.0,,drkmd70,,,,,,
21171,Ben Welden,1901-06-12,M,117.90248944194609,,5.0,,,,,,1.0,,dpksgn9,,,,,,
21172,Charles Weldon,1940-06-01,M,78.93112110447169,,5.0,,1.0,,,,3.0,,9y783yy,,40.0,,,,1.0
21173,Frank Welker,1946-03-12,M,73.15413731972593,,2.0,,,,,,4.0,,9xj64fk,,,,,,
21174,Fred Weller,1966-04-18,M,53.05242407441632,,3.0,,,,1.0,,1.0,,9vrfqk7,,,,,,
21175,Peter Weller,1947-06-24,M,71.87005893344832,,6.0,,1.0,,1.0,,3.0,,dpbm39m,,59.0,,,,0.0
21176,Mel Welles,,M,,,,,,,,,1.0,,dr5regw,,,,,,
21177,Orson Welles,1915-05-06,M,104.00487347447245,,4.0,,,,3.0,,1.0,,dp9d386,,,,,,
21178,Charles Wellesley,1873-11-17,M,145.46773718830642,,10.0,,,,,,1.0,,gc7x981,,,,,,
21179,Tom Welling,1977-04-26,M,42.02961046428058,,4.0,,1.0,,1.0,,4.0,,dr77pw0,,25.0,38.0,,,1.0
21180,Titus Welliver,1961-03-12,M,58.1531448284359,,2.0,,3.0,,3.0,,1.0,,drk4urz,,37.0,28.0,,,1.0
21181,William Wellman Jr.,1937-01-20,M,82.29327090905358,,1.0,,,,,,1.0,,9q5ctr1,,,,,,
21182,Dan Wells,1973-10-25,M,45.53139352621889,,10.0,,,,,,1.0,,9mupydj,,,,,,
21183,L. M. Wells,1862-02-05,M,157.24895103937794,,1.0,,,,,,1.0,,dngykys,,,,,,
21184,Scott James Wells,,M,,,,,,,,,3.0,,dph4hjv,,,,,,
21185,William Welsh,1870-02-09,M,149.23783513692956,,1.0,,,,,,1.0,,dr4e394,,,,,,
21186,George Wendt,1948-10-17,M,70.55312566308686,,9.0,,1.0,,3.0,,2.0,,dp3wjzt,,30.0,,,,0.0
21187,Scott Wentworth,,M,,,,,,,,,2.0,,dqcx88s,,,,,,
21188,Devon Werkheiser,1991-03-08,M,28.16484938089078,,2.0,,,,,,2.0,,djgzzxy,,,,,,
21189,Harold Wertz,1927-08-03,M,91.76095333921984,,7.0,,,,,,2.0,,9y52530,,,,,,
21190,Rusty Wescoatt,1911-08-02,M,107.76401979506764,,7.0,,,,,,1.0,,8e8y6d4,,,,,,
21191,Dick Wessel,1913-04-20,M,106.04735210168587,,4.0,,,,,,,,dp9kzdu,,,,,,
21192,Dick Wesson,1922-11-19,M,96.46467757722608,,10.0,,,,,,,,drt2zp2,,,,,,
21193,Adam West,1928-09-19,M,90.63019774533358,,8.0,,3.0,,4.0,,1.0,,c25y51c,,22.0,28.0,,,1.0
21194,Andrew J West,,M,,,,9.0,1.0,1.0,1.0,1.0,1.0,1.0,dp3guxw,20000000.0,,,28.0,28.0,0.0
21195,Billy West,,M,,,,,,,,,,,y6fyh84,,,,,,
21196,"James ""Buster"" West",1901-03-31,M,118.10235665345628,,3.0,,,,,,2.0,,dr4e394,,,,,,
21197,Charles West,1885-11-30,M,133.43189798558492,,11.0,,,,,,1.0,,dppn59u,,,,,,
21198,Nathan West,1978-09-29,M,40.60316091363957,-3.5291621320081865,9.0,3.0,,,3.0,3.0,3.0,1.0,bdvkkbm,20000000.0,,,,,
21199,Pat West,1888-04-19,M,131.04718098249793,,3.0,,,,,,2.0,,dn8fzyg,,,,,,
21200,Red West,1936-03-08,M,83.1639253372759,,2.0,,1.0,,2.0,,5.0,,9ypzyyu,,25.0,,,,0.0
21201,Shane West,1978-06-10,M,40.907068591415296,,5.0,,,,,,5.0,,9vrjhzx,,,,,,
21202,Sonny West,1938-07-05,M,80.83944228834268,,6.0,,1.0,,2.0,,2.0,,9ypzyyu,,32.0,,,,0.0
21203,Ti West,1980-10-05,M,38.58532344948904,,9.0,,,,,,6.0,,dr460g7,,,,,,
21204,Gordon Westcott,1903-11-06,M,115.50134499681718,,10.0,,,,2.0,,1.0,,9qx5p9n,,,,,,
21205,Travis Wester,1977-10-08,M,41.57785580812747,,9.0,,,,,,3.0,,,,,,,,
21206,James A. Westerfield,1913-03-22,M,106.12675140488855,,3.0,,,,,,,,dn6m9pp,,,,,,
21207,Jack Weston,1924-08-21,M,94.70967918574644,,7.0,,,,1.0,,1.0,,dpmuhfx,,,,,,
21208,Jonny Weston,1988-06-16,M,30.889066852844344,,5.0,,,,,,1.0,,djz4mng,,,,,,
21209,Michael Weston,1973-10-25,M,45.53139352621889,,10.0,,,,,,1.0,,dr5regw,,,,,,
21210,Paul G. Wexler,1929-05-23,M,89.9566726216144,,5.0,,,,1.0,,1.0,,c20fbmg,,,,,,
21211,Carl Weyant,1983-10-04,M,35.59005318384361,,9.0,,,,,,1.0,,9qqj7hh,,,,,,
21212,John David Whalen,,M,,,,,,,,,1.0,,dqcx88s,,,,,,
21213,Michael Whalen,1902-06-30,M,116.8538710582695,,6.0,,,,,,1.0,,dr649k3,,,,,,
21214,Frank Whaley,1963-07-20,M,55.79854480242579,,6.0,,1.0,,,,5.0,,dr9ughx,,38.0,,,,0.0
21215,Michael Whaley,,M,,,,,,,,,1.0,,9q5bn7t,,,,,,
21216,Justin Whalin,1974-09-06,M,44.666214912010524,,8.0,,,,,,1.0,,9q8yyk8,,,,,,
21217,Richard Wharton,,M,,,,,,,,,1.0,,,,,,,,
21218,Larry Wheat,1876-10-10,M,142.57103157491258,,9.0,,,,,,1.0,,dpnegjk,,,,,,
