,link
762,/wiki/Tony_Anthony_(actor)
763,/wiki/Steve_Antin
764,/wiki/Craig_Anton
765,/wiki/Emile_de_Antonio
766,/wiki/Lou_Antonio
767,/wiki/Jason_Antoon
768,/wiki/Harry_Antrim
769,/wiki/Hy_Anzell
770,/wiki/Perry_Anzilotti
771,/wiki/Judd_Apatow
772,/wiki/Apesanahkwat
773,/wiki/Oscar_Apfel
774,/wiki/Sam_Appel
775,/wiki/Zach_Appelman
776,/wiki/Eddie_Applegate
777,/wiki/Royce_D._Applegate
778,/wiki/Hale_Appleman
779,/wiki/John_Aprea
780,/wiki/Tomas_Arana
781,/wiki/Ray_Aranha
782,/wiki/Jack_Aranson
783,/wiki/Michael_Arata
784,/wiki/Andrew_Arbuckle_(actor)
785,/wiki/Maclyn_Arbuckle
786,/wiki/Roscoe_Arbuckle
787,/wiki/Allan_Arbus
788,/wiki/John_Archer_(actor)
789,/wiki/Ken_Ard_(dancer)
790,/wiki/Robert_Arden
791,/wiki/Lee_Arenberg
792,/wiki/Geoffrey_Arend
793,/wiki/Maurice_Argent
794,/wiki/Carmen_Argenziano
795,/wiki/Victor_Argo
796,/wiki/Mois%C3%A9s_Arias
797,/wiki/Yancey_Arias
798,/wiki/Amir_Arison
799,/wiki/Adam_Arkin
800,/wiki/Judd_Apatow
801,/wiki/Apesanahkwat
802,/wiki/Oscar_Apfel
803,/wiki/Sam_Appel
804,/wiki/Zach_Appelman
805,/wiki/Eddie_Applegate
806,/wiki/Royce_D._Applegate
807,/wiki/Hale_Appleman
808,/wiki/John_Aprea
809,/wiki/Tomas_Arana
810,/wiki/Ray_Aranha
